VTO,taxname,ottid
VTO_0079543,Himantolophus macroceratoides,3630397
VTO_9027094,Terrapene carolina triunguis,256160
VTO_0082834,Arthroleptis carquejai,3619086
VTO_0082835,Arthroleptis nlonakoensis,3619089
VTO_0082836,Arthroleptis pyrrhoscelis,3619102
VTO_0082838,Arthroleptis zimmeri,3619090
VTO_9027091,Paraphiomys knolli,3609748
VTO_9017860,Bauriidae,4128193
VTO_9017861,Bauria,4128194
VTO_9017862,Hakusanobaatar,6143365
VTO_9002018,Psephodus levissimus,6139689
VTO_9017865,Procamelus leptocolon,3611501
VTO_9017866,Fratercula dowi,6150939
VTO_9017867,Cantalera abadi,6143763
VTO_9002011,Allodelphis,3612326
VTO_9002010,Tangaroasaurus,3612281
VTO_9002016,Pleuroplax woodi,6139680
VTO_9002015,Erinaceus mongolicus,3614705
VTO_9002014,Zarhachis,3612086
VTO_9027098,Arfia opisthotoma,4945345
VTO_9034067,Hulettia,4141447
VTO_9034066,Gyrosteus,4143492
VTO_9034063,Gyrolepis,4949710
VTO_9034062,Pliohippus tehonensis,3614969
VTO_9034061,Sciamys,3610391
VTO_9034060,Pliohippus tantalus,3614969
VTO_0058725,Myxine capensis,642088
VTO_0061988,Hito,3621797
VTO_9011859,Paleoparadoxiidae,3616355
VTO_9011858,Ibarus ignotus,4944399
VTO_9011851,Onychomys gidleyi,3608408
VTO_0053637,Mastacembelus congicus,584938
VTO_0061984,Kryptopterus palembangensis,3621769
VTO_9005179,Niobrarasaurus,4946757
VTO_9005178,Dracopelta,4946743
VTO_9002128,Miolacerta tenuis,6156856
VTO_0007622,Leptodactylus plaumanni,1045822
VTO_9006708,Janassa kochi,6159834
VTO_9002121,Haplohippus,3615041
VTO_0074831,Wetmorella tanakai,3636695
VTO_0077503,Papuligobius,3638087
VTO_9006702,Alnashetri cerropoliciensis,6150470
VTO_9006701,Alnashetri,6150469
VTO_9006707,Lakotalestes luoi,6143342
VTO_9006706,Cercocebus fuliginosus,268349
VTO_9006705,Aotus azarae,1058659
VTO_0054369,Poecilia hispaniolana,20686
VTO_9017040,Protodelphinus capellinii,6146002
VTO_9017041,Tersomius,4948606
VTO_9017046,Branchiosauridae,4948488
VTO_9017047,Apateon,6148513
VTO_9017044,Pseudospheniscus planus,6155253
VTO_9017048,Branchiosaurus,4948490
VTO_9017049,Proheteromys sulculus,3609587
VTO_9018820,Qinornis,3604822
VTO_9005896,Wasonaka yepomerae,6151111
VTO_9005897,Anabernicula gracilenta,6151607
VTO_9005894,Wasonaka,3605563
VTO_9005895,Brantadorna downsi,6151644
VTO_9005892,Chendytes milleri,6151649
VTO_9005893,Oxyura bessomi,6151677
VTO_9005890,Zhongornis haoae,4140827
VTO_9005898,Anabernicula oregonensis,6151608
VTO_9005899,Sibyrhynchidae,4145850
VTO_9018822,Wadiasaurus indicus,6149238
VTO_0077504,Papuligobius ocellatus,3638089
VTO_9010547,Lystrosaurus oviceps,4126442
VTO_9012131,Liopleurodon,4127184
VTO_9012130,Leucocarbo carunculatus,3600684
VTO_9012133,Leurospondylus,4946328
VTO_9012132,Leucocarbo,3600667
VTO_9012135,Cnemiornis,3595955
VTO_9012134,Kimmerosaurus,4946465
VTO_9012139,Zhejiangichthys,6376313
VTO_9012138,Zhejiangichthys zhaoi,6376314
VTO_9007252,Daouitherium,4943111
VTO_9012337,Hyrachyus modestus,4942817
VTO_9026061,Eleutherornis,4130262
VTO_9026062,Coelosuchus reedii,6149986
VTO_9026064,Myliobates heteropleurus,6139199
VTO_0078732,Stiphodon larson,3637725
VTO_9026065,Brillanceausuchidae,3605987
VTO_9007634,Macropus mimas,6148091
VTO_9007635,Gorilla gorilla gorilla,417953
VTO_9007636,Herpestinae,42311
VTO_9007630,Capromeryx furcifer,3611629
VTO_9012798,Cretalamna,4140963
VTO_9007632,Macropus raechus,6148097
VTO_9012795,Amyda ventricosa,5603
VTO_9012791,Turnipax,4130960
VTO_9007639,Coelacanthini,6138308
VTO_9012793,Turnipax oechslerorum,4130961
VTO_9012792,Amyda radula,5603
VTO_9000949,Protentomodon,3617303
VTO_9000946,Casamiquelia,4944161
VTO_9000945,Tsaganius,3615603
VTO_9000944,Dinohyus,4944686
VTO_9000943,Simoliophis libycus,4125769
VTO_9000942,Entelodon,4944917
VTO_9000941,Naranius,3617478
VTO_9000940,Arrhinoceratops brachyops,4947036
VTO_9011440,Recurvacanthus uniserialis,6139722
VTO_9011441,Ankotarinja tirarensis,6147849
VTO_9011442,Rhombodus,4141688
VTO_9011443,Keeuna woodburnei,6147860
VTO_0067089,Leuropharus lasiops,3643565
VTO_9011446,Dasyurus dunmalli,6147859
VTO_0067084,Pisodonophis hoeveni,3643272
VTO_0067085,Pisodonophis hijala,3643268
VTO_0067086,Pisodonophis hypselopterus,3643270
VTO_0067087,Pisodonophis daspilotus,3643267
VTO_0067080,Xyrias guineensis,3643263
VTO_0067081,Pisodonophis copelandi,3643269
VTO_0067082,Pisodonophis semicinctus,563046
VTO_0067083,Pisodonophis boro,3643266
VTO_0078730,Stiphodon aureorostrum,3637733
VTO_0078731,Stiphodon discotorquatus,3637743
VTO_9025392,Adeloblarina berklandi,3614687
VTO_0059587,Pimelodus navarroi,3622000
VTO_0062108,Sternarchorhynchus,3621610
VTO_0062109,Sternarchorhynchus villasboasi,3621659
VTO_9001848,Berrulestes pellouini,6143987
VTO_0062102,Platyurosternarchus,3621630
VTO_0062103,Platyurosternarchus crypticus,3621638
VTO_0062101,Parapteronotus hasemani,5839369
VTO_0062106,Sternarchogiton zuanoni,3621586
VTO_0062107,Ubidia,789559
VTO_0062104,Platyurosternarchus macrostomus,3621631
VTO_0062105,Sternarchogiton porcinum,3621585
VTO_9000369,Oligokyphus minor,6158395
VTO_9000368,Eoplatanista taurinensis,3612369
VTO_9000363,Brachyodus,4944795
VTO_9000367,Arretotherium,4944757
VTO_9000366,Meridiosaurus vallisparadisi,4132235
VTO_9000365,Bothriodon,4944741
VTO_9000364,Bothriogenys,4944756
VTO_0067628,Leptostomias multifilis,3628965
VTO_0067629,Leptostomias macronema,3628971
VTO_0067620,Bathophilus filifer,3628838
VTO_0067624,Leptostomias gracilis,3628964
VTO_0067625,Leptostomias bermudensis,3628968
VTO_0067626,Leptostomias macropogon,3628967
VTO_0067627,Leptostomias robustus,3628962
VTO_9010796,Melanognathus,4141209
VTO_9010795,Palaedaphus,5292639
VTO_9010792,Ceratodus robustus,3621425
VTO_9010791,Adapisoricidae,3615224
VTO_9010790,Ceratodus latissimus,3621409
VTO_0061662,Homodiaetus graciosa,3622087
VTO_0061663,Homodiaetus banguela,3622085
VTO_0061660,Glanapteryx anguilla,3622267
VTO_0061661,Homodiaetus passarellii,3622086
VTO_0061666,Ituglanis gracilior,3622293
VTO_0061667,Ituglanis ramiroi,3622263
VTO_0061664,Ituglanis,3622258
VTO_0061665,Ituglanis guayaberensis,3622310
VTO_0061668,Ituglanis parkoi,3622289
VTO_0061669,Ituglanis epikarsticus,3622307
VTO_0079474,Bufoceratias wedli,3630270
VTO_0038519,Curimatopsis evelynae,972699
VTO_9032139,Palamopus divaricans,6156726
VTO_9032138,Dysnoetodon minuta,6143461
VTO_9032137,Huananius youngi,6143484
VTO_9032136,Eupalamopus dananus,6159214
VTO_9032135,Palamopus anomalus,6156725
VTO_9032134,Sinosaurichthys minuta,6142765
VTO_9032133,Cyclurus fragosus,3644066
VTO_9032131,Cyclurus efremovi,4946487
VTO_0070343,Atherinella pallida,3641028
VTO_0070342,Atherinella serrivomer,3641048
VTO_0070341,Atherinella marvelae,680152
VTO_0070340,Atherinella chagresi,3641042
VTO_0070345,Atherinella alvarezi,3641025
VTO_0070344,Atherinella meeki,3641052
VTO_0038515,Curimatella,887767
VTO_9025399,Otischalkia,4127575
VTO_0081733,Nyctimystes fluviatilis,3620068
VTO_0080005,Leptolepides haerteisi,6141356
VTO_9030749,Planocephalosaurus,3595518
VTO_9025955,Argentodites coloniensis,6143128
VTO_9025954,Edaphodon leptognathus,6139637
VTO_9025957,Argentodites,6143127
VTO_9025956,Edaphodon eurygnathus,6139635
VTO_9025950,Oepikodus,4142255
VTO_9025953,Edaphodon bucklandi,4139546
VTO_0072898,Channa nox,3638815
VTO_9025959,Mylodonopsis ibseni,6147784
VTO_9005288,Varanodon,4128070
VTO_9005283,Cynognathus crateronotus,4128493
VTO_9005282,Ictidopsis elegans,4946130
VTO_9005281,Microgomphodon,4128372
VTO_9005280,Microgomphodon oligocynus,4128373
VTO_9005286,Eothyrididae,4126972
VTO_0072895,Channa ornatipinnis,3638814
VTO_0072894,Channa striatus,1048597
VTO_9032729,Acrolepis sedgwickii,4949702
VTO_9003297,Jindongornipes kimi,4132122
VTO_9003294,Goseongornipes markjonesi,4139720
VTO_9008778,Tetraconodon malensis,4118846
VTO_9008779,Smok wawelski,6158214
VTO_9008774,Myanmarpithecus yarshensis,4117851
VTO_9008775,Pondaungimys,4117140
VTO_9008776,Pondaungimys anomaluropsis,4117141
VTO_9008777,Smok,6158213
VTO_9008770,Domninoides knoxjonesi,3614346
VTO_9008773,Myanmarpithecus,4117850
VTO_0064742,Leporinus paralternus,3625629
VTO_0064743,Leporinus acutidens,3625637
VTO_0064740,Leporinus arcus,3625635
VTO_0064741,Leporinus lebaili,3625648
VTO_0064746,Leporinus alternus,3625626
VTO_0064747,Leporinus reticulatus,3625618
VTO_0064744,Leporinus falcipinnis,3625640
VTO_0064749,Leporinus boehlkei,3625636
VTO_9032726,Borealochelys,3606574
VTO_9029920,Polonosuchus silesiacus,6149727
VTO_9029921,Mesosaurus tenuidens,3621344
VTO_9029922,Carolina,1026635
VTO_9029923,Eostrix mimica,3601649
VTO_9029925,Eostrix martinellii,3601580
VTO_9032919,Trilaccogaulus lemhiensis,3610106
VTO_9008199,Darcius duggani,4943552
VTO_9032911,Cladocyclus,4144988
VTO_9008193,Gnathosaurus subulatus,6148833
VTO_9008194,Lasalichthys hillsi,6142705
VTO_9032914,Balochisaurus,4142817
VTO_9008196,Tanaocrossus,4141557
VTO_9008197,Tanaocrossus kalliokoskii,6160238
VTO_9020037,Mariliasuchus robustus,6149951
VTO_9009823,Diacodexis woltonensis,4944847
VTO_9009822,Diacodon alticuspis,4943503
VTO_9009821,Desmodus stocki,3613585
VTO_9009820,Deuterogonodon montanus,4943827
VTO_9009827,Mesoprocta hypsodus,6144368
VTO_9009824,Pachyrucidae,6143685
VTO_9009829,Guiomys unica,6144306
VTO_9009828,Mesoprocta,6144367
VTO_9004636,Mastersoniidae,4127385
VTO_0061962,Ompok binotatus,3621772
VTO_0069434,Symphurus multimaculatus,3640542
VTO_0069433,Symphurus hernandezi,3640516
VTO_0069432,Symphurus macrophthalmus,3640560
VTO_0069431,Symphurus prolatinaris,3640541
VTO_0069430,Symphurus australis,3640552
VTO_0069439,Symphurus callopterus,3640512
VTO_0069438,Symphurus variegatus,3640562
VTO_0003568,Gracixalus quangi,177169
VTO_0070516,Dunckerocampus chapmani,3642125
VTO_0068844,Gunterichthys longipenis,3630080
VTO_0002416,Pipidae,465087
VTO_0002414,Rhinophrynus,459015
VTO_9026784,Onchopristis dunklei,3595421
VTO_0002413,Rhinophrynidae,459016
VTO_0081099,Hynobius turkestanicus,3620519
VTO_0081098,Sinerpeton,3620651
VTO_0070510,Choeroichthys latispinosus,3642204
VTO_0081093,Kokartus,4132704
VTO_0081091,Liaoxitriton,3620675
VTO_0005375,Rheobatrachus silus,918196
VTO_0081097,Bishara,4132664
VTO_0081096,Valdotriton,3620654
VTO_0081095,Marmorerpeton,3621285
VTO_0081094,Karaurus,3620667
VTO_9000701,Pseudoltinomys nanus,4941124
VTO_9027562,Icochilus,4944272
VTO_9027563,Patriarchus icochiloides,6147204
VTO_9027560,Patriarchus leptocephalus,6147205
VTO_9027561,Patriarchus diastematus,6147202
VTO_9027566,Brachyerix incertis,4119052
VTO_9027564,Brachyhyops viensis,3615723
VTO_9027565,Brachyerix macrotis,4119054
VTO_9027568,Brachyhyops wyomingensis,3616577
VTO_9000702,Capetus palustris,6159098
VTO_0078575,Trimma winchi,3637622
VTO_0078578,Trimma stobbsi,3637648
VTO_0078579,Trimma fraena,3637627
VTO_0077874,Benthophilus leobergius,3636890
VTO_0077875,Benthophilus spinosus,3636885
VTO_0077876,Benthophilus casachicus,3636887
VTO_0084319,Caecilia mertensi,3617879
VTO_0077873,Benthophilus ctenolepidus,3636891
VTO_0084317,Caecilia crassisquama,3617880
VTO_0084316,Caecilia flavopunctata,3617878
VTO_0084315,Caecilia leucocephala,3617894
VTO_0084314,Caecilia tenuissima,3617883
VTO_0084313,Caecilia marcusi,3617866
VTO_0084312,Caecilia thompsoni,3617867
VTO_0084311,Caecilia armata,3617876
VTO_0084310,Caecilia albiventris,3617865
VTO_0060416,Pterygoplichthys punctatus,3622821
VTO_0074789,Cirrhilabrus ryukyuensis,861047
VTO_0074788,Cirrhilabrus filamentosus,3636652
VTO_0074787,Cirrhilabrus johnsoni,3636647
VTO_0074786,Cirrhilabrus sanguineus,3636669
VTO_0074785,Cirrhilabrus lunatus,3636674
VTO_0074784,Cirrhilabrus walindi,3636651
VTO_0074783,Cirrhilabrus cenderawasih,3636646
VTO_0074782,Cirrhilabrus brunneus,3636661
VTO_0074781,Cirrhilabrus jordani,3636663
VTO_0074780,Cirrhilabrus naokoae,3636671
VTO_0059748,Notarius troschelii,784552
VTO_0062537,Nemacheilus longipinnis,3628037
VTO_9015978,Isectolophidae,3615153
VTO_9015979,Cardiolophus,5338030
VTO_0062536,Nemacheilus fasciatus,3627979
VTO_9015974,Fouchia,3615119
VTO_9015975,Pasawioops,6158525
VTO_9015976,Homogalax,4118249
VTO_9015977,Hylaeochelys lata,6156251
VTO_9015970,Heptodon,3615117
VTO_9015971,Selenaletes,4118225
VTO_9015972,Dilophodon,4118237
VTO_9015973,Pasawioops mayi,6158526
VTO_0062531,Nemacheilus spiniferus,3628009
VTO_0062530,Nemacheilus chrysolaimos,3627983
VTO_0002697,Ceratobatrachus,376748
VTO_0075438,Kraemeria galatheaensis,3638243
VTO_0075439,Kraemeria samoensis,3638240
VTO_0075436,Kraemeria nuda,3638242
VTO_0075437,Kraemeria merensis,3638241
VTO_0075434,Afronandus sheljuzhkoi,3639917
VTO_0075435,Kraemeria tongaensis,3638244
VTO_0075432,Bostrychus scalaris,4948964
VTO_0075433,Afronandus,3639916
VTO_0005138,Choerophryne,594327
VTO_0005130,Paradoxophyla,1091642
VTO_0005131,Paradoxophyla palmata,565056
VTO_0005132,Paradoxophyla tiarano,1091643
VTO_0005134,Liophryne,1039945
VTO_9005015,Umayodus raimondi,6143302
VTO_0064016,Salmophasia orissaensis,3626284
VTO_0084137,Gastrotheca lateonota,3619397
VTO_9020059,Hexing qingyi,6149130
VTO_9020058,Pseudocyon,4942105
VTO_9020057,Histriophoca,6145557
VTO_0084136,Cryptobatrachus ruthveni,3619418
VTO_9020054,Miosiren kocki,3607259
VTO_0045361,Scortum ogilbyi,165014
VTO_9020050,Temnocyon,4942125
VTO_9005225,Nessovophis,4125896
VTO_9022279,Tarbosaurus,3595527
VTO_9022278,Hypsimylus yihesubuensis,3611307
VTO_9022271,Gracilitarsus,6256720
VTO_9022270,Cynosphenodon huizachalensis,4119542
VTO_9022273,Gracilitarsidae,3600292
VTO_9022272,Cynosphenodon,4119541
VTO_9022277,Aigialosaurus dalmaticus,4126044
VTO_9022276,Coccolepidae,4139959
VTO_9034184,Jeholodens jenkinsi,6143560
VTO_9034185,Jeholodens,3617235
VTO_9034186,Juchilestes liaoningensis,6143562
VTO_9034187,Juchilestes,6143561
VTO_9034180,Stethacanthus gansuensis,6160201
VTO_9034182,Maotherium sinensis,6143597
VTO_9034183,Akidolestes cifellii,3616944
VTO_9034188,Acristatherium yanensis,6143049
VTO_9034189,Acristatherium,6143048
VTO_0076626,Rabaulichthys,3634165
VTO_9010229,Diplospondichthys moreaui,6159586
VTO_9010227,Amyda johnsoni,6156132
VTO_9010226,Chasmatosaurus yuani,6149764
VTO_9010225,Phoenicopterus stocki,6154849
VTO_9010224,Cynomys spenceri,3609048
VTO_9010223,Prejanopterus,6149733
VTO_9010222,Tadzhikosuchus macrodentis,6150071
VTO_9010221,Cynomys sappaensis,3609050
VTO_9010220,Cynorca occidentale,3611447
VTO_0001934,Eurycea tridentifera,133629
VTO_0001935,Eurycea chamberlaini,749264
VTO_0001936,Eurycea rathbuni,133628
VTO_0001937,Eurycea sosorum,133627
VTO_0001933,Eurycea tonkawae,133630
VTO_0001938,Eurycea pterophila,839990
VTO_9026748,Galeocerdo aduncus,3594967
VTO_9005223,Tuojiangosaurus,4946396
VTO_9026747,Myliobatis oligocaena,3594742
VTO_9026746,Fossorcastor greeni,3609323
VTO_9009615,Deperetella cristata,6146743
VTO_9009617,Drytomomys,3616875
VTO_9014212,Rotodactylus lucasi,4127353
VTO_9014213,Rotodactylus velox,4127354
VTO_9014210,Rotodactylus,4127351
VTO_9014211,Valdotriton gracilis,3620657
VTO_9014217,Cyclotosaurus robustus,4948424
VTO_9014214,Rhynchosauroides maximus,4144436
VTO_9014215,Cyclotosaurus posthumus,4948423
VTO_9014218,Osmolskina,4127906
VTO_9014219,Cyclotosaurus mordax,4948423
VTO_0074133,Pachyurus schomburgkii,4949073
VTO_0075948,Lycodes tanakae,3632936
VTO_0075949,Lycodes teraoi,3632930
VTO_9033929,Psilichthys,216137
VTO_9033928,Diablomomys,4941736
VTO_9001801,Spinostropheus gautieri,4129814
VTO_9005913,Iniopterygidae,4144288
VTO_9005912,Sifrhippus grangeri,6146840
VTO_0060403,Pseudohemiodon lamina,3622653
VTO_9005910,Pseudotribos,4943915
VTO_9005917,Papilionichthys stahlae,6159811
VTO_0060404,Pseudohemiodon devincenzii,3622650
VTO_9005915,Papilionichthys,6159810
VTO_0060409,Rhadinoloricaria macromystax,3623089
VTO_0060408,Rhadinoloricaria,3623058
VTO_9005919,Rainerichthys zangerli,6159815
VTO_9005918,Rainerichthys,6159814
VTO_0063170,Spinibarbus nammauensis,3626757
VTO_0063171,Hemiculter songhongensis,3626718
VTO_0063172,Hemiculter elongatus,3626719
VTO_0063173,Hemiculter krempfi,3626716
VTO_0063174,Hemiculter tchangi,3626717
VTO_0063175,Hemiculter varpachovskii,3626715
VTO_0063176,Gila crassicauda,3626835
VTO_0063177,Gila eremica,561004
VTO_0063178,Gila modesta,88755
VTO_0063179,Gila brevicauda,687106
VTO_9019567,Himalayasaurus tibetensis,6158188
VTO_9019565,Sinovenator changii,4128105
VTO_9019564,Pessopteryx nisseri,6149590
VTO_9019562,Anaptogale,3607452
VTO_9019561,Anagalopsis,3607459
VTO_9019560,Diacronus,3607450
VTO_9019569,Sinovenator,4128104
VTO_9019568,Anchilestes,4945437
VTO_0037024,Corumbataia britskii,167683
VTO_0037021,Parotocinclus bidentatus,144228
VTO_0049827,Periophthalmus kalolo,222951
VTO_0064232,Anabarilius qiluensis,3626886
VTO_0064233,Anabarilius qionghaiensis,3626888
VTO_0064230,Anabarilius liui,3626894
VTO_0064231,Anabarilius paucirastellus,3626884
VTO_0064236,Anabarilius goldenlineus,3626893
VTO_0064237,Anabarilius polylepis,3626887
VTO_0064234,Anabarilius xundianensis,3626895
VTO_0064235,Anabarilius andersoni,3626889
VTO_0077474,Paradoxodacna,3634797
VTO_0077475,Paradoxodacna piratica,3634796
VTO_0077476,Tetracentrum,3634799
VTO_0077477,Tetracentrum honessi,3634800
VTO_0076916,Neoclinus lacunicola,3639318
VTO_9008028,Orthaspidotherium edwardsi,6143753
VTO_9003988,Luopingcoelacanthus,6142872
VTO_9003982,Amphimerycidae,3615389
VTO_9003983,Hexaprotodon bruneti,3612031
VTO_9003981,Syndyoceras,4944614
VTO_9003986,Hippopotamus gorgops,3612008
VTO_9003987,Haplomeryx,4944608
VTO_9003984,Xiphodon,4118068
VTO_0069149,Abyssobrotula,3629773
VTO_0069148,Typhlonus nasus,3629797
VTO_0042740,Praealticus labrovittatus,614325
VTO_0042741,Atrosalarias,29860
VTO_0042744,Parablennius tasmanianus,656833
VTO_0069140,Pycnocraspedum microlepis,3629842
VTO_9004668,Equus africanus somaliensis,1044576
VTO_9004669,Glyptopidae,6156241
VTO_9004666,Megaptera miocaena,226201
VTO_9004664,Teyumbaita sulcognathus,6156536
VTO_9004665,Teyumbaita,6156535
VTO_9004663,Equus africanus,519153
VTO_9004660,Alaskacephale gangloffi,4128755
VTO_9004661,Alaskacephale,4128754
VTO_9033791,Richardoestesia gilmorei,4946102
VTO_0063672,Barbus mawambiensis,3626432
VTO_9033797,Richardoestesia isosceles,4946101
VTO_0072538,Satyrichthys rieffeli,3631546
VTO_0072539,Satyrichthys lingi,3631539
VTO_0080436,Eugomphodus,331730
VTO_0080437,Triglochis,331730
VTO_0080434,Cetorhinidae,5744200
VTO_0080435,Carcharias limbatus,350158
VTO_0080432,Squalus altipinnis,3595257
VTO_0080433,Pseudocentrophorus,124071
VTO_0080430,Squalus melanurus,3595267
VTO_0080431,Squalus lalannei,3595268
VTO_0072842,Scorpaena cocosensis,3632394
VTO_0072843,Scorpaena neglecta,3632399
VTO_0072840,Scorpaena miostoma,3632421
VTO_0072841,Scorpaena tierrae,3632390
VTO_0072846,Scorpaena pele,3632410
VTO_0072847,Scorpaena gasta,3632397
VTO_0080438,Odontaspis taurus,331725
VTO_0080439,Lamnidae,3595175
VTO_0072531,Satyrichthys clavilapis,3631541
VTO_0079516,Linophryne maderensis,3630277
VTO_9032445,Leptoptilos dubius,3596801
VTO_0072534,Satyrichthys welchi,3631534
VTO_9005139,Gwyneddichnidae,4130233
VTO_9032441,Myopotamus australis,6144497
VTO_9005135,Bagaceratops,4946434
VTO_9005134,Lagopsis,4940727
VTO_9005137,Psittacosaurus,4126864
VTO_9005131,Psittacosauridae,4126861
VTO_9005133,Miodyromys,4940935
VTO_9005132,Heptacodon yeguaensis,4944766
VTO_0007715,Telmatobius niger,72641
VTO_9001941,Triisodon,4119340
VTO_0069113,Xyelacyba,3629789
VTO_9031341,Megahippus mckennai,4942675
VTO_9031340,Impregnochelys,4132410
VTO_9031343,Introrsisaurus,4126011
VTO_9031342,Stylemys,3606332
VTO_9031347,Saurillus obtusus,4124303
VTO_9031348,Saurillus henkeli,4124304
VTO_0074215,Corvula macrops,3634432
VTO_0068660,Allenbatrachus meridionalis,3630468
VTO_0068662,Sanopus barbatus,3630447
VTO_0068665,Sanopus splendidus,3630446
VTO_0074214,Corvula batabana,3634429
VTO_0069116,Luciobrotula lineata,3629799
VTO_0068667,Aphyonidae,3630084
VTO_0062010,Silurichthys citatus,3621754
VTO_0064252,Candidia pingtungensis,3627641
VTO_0074216,Nibea leptolepis,3634281
VTO_9030430,Pseudolacerta,4123437
VTO_9030431,Arctocephalus elegans,3613081
VTO_9028338,Dasyatis rugosa,6139156
VTO_9028339,Dasyatis russelli,6139157
VTO_9030435,Bainguis,4126047
VTO_9028332,Martes caurina,80402
VTO_9028331,Namaortyx,6151714
VTO_9028336,Dasyatis schaefferi,6139158
VTO_9028337,Dasyatis serralheiroi,6139159
VTO_9028334,Hypolophites myliobatoides,6139169
VTO_9028335,Hypolophites mayumbensis,6139168
VTO_0083313,Rhacophorus bimaculatus,4948290
VTO_9021943,Pseudoltinomys gliriformis,4941122
VTO_9032490,Cyrtonodus brevis,4139570
VTO_9032492,Equus excelsus,3614867
VTO_9032493,Equus enormis,3614870
VTO_9032494,Palaeoniscinotus ningxiansis,6159949
VTO_9032495,Helcura anguinea,6149116
VTO_9032496,Anachronistidae,4145651
VTO_9032497,Helcura,4128261
VTO_9032498,Amblypus dextratus,6148488
VTO_9032499,Amblypus,4127497
VTO_9001933,Palaeoblanus,4127110
VTO_9001932,Palaeoblanus tobieni,6158059
VTO_9001935,Psammodus specularis,4143555
VTO_9001937,Mesonychidae,4942360
VTO_9001936,Psammodus trapeziformis,6160109
VTO_0066805,Uropterygius nagoensis,3643758
VTO_0074210,Paralonchurus rathbuni,3634340
VTO_0062014,Phalacronotus parvanalis,3621746
VTO_0066804,Uropterygius wheeleri,3643757
VTO_0069978,Halimochirurgus alcocki,3631389
VTO_0069979,Halimochirurgus centriscoides,3631398
VTO_0069977,Halimochirurgus,3631381
VTO_0069974,Hollardia goslinei,3631374
VTO_0069973,Hollardia,3631375
VTO_0069970,Triacanthodes indicus,3631372
VTO_9028637,Metasthenurus,4117023
VTO_9028636,Archaeosimos,4117024
VTO_0047059,Crenicichla marmorata,707740
VTO_0047058,Crenicichla britskii,167680
VTO_0075902,Orqueta,825720
VTO_0075903,Mendosoma caerulescens,3635273
VTO_0075901,Latris pacifica,5559596
VTO_0075906,Rathbunella alleni,4949030
VTO_0075907,Lycodapus derjugini,3632957
VTO_0075904,Mendosoma fernandezianum,3635272
VTO_0075905,Aplodactylus lophodon,126949
VTO_0075908,Lycodapus australis,3632961
VTO_0075909,Lycodapus dermatinus,3632956
VTO_0072343,Porocottus mednius,3632224
VTO_0072347,Porocottus japonicus,3632186
VTO_0072346,Porocottus quadrifilis,3632218
VTO_9028639,Milliyowi,3607048
VTO_0004577,Sechellophryne,81795
VTO_0004576,Sooglossidae,882346
VTO_0004573,Calyptocephallela,346416
VTO_0004572,Telmatobufo venustus,1068319
VTO_0004571,Telmatobufo bullocki,1068318
VTO_0004570,Telmatobufo australis,736940
VTO_9034434,Cadutherium,4944907
VTO_9034436,Meroehyrax bateae,4943259
VTO_9034437,Panoplosaurus mirus,4946761
VTO_9034430,Varanopidae,4128056
VTO_9034431,Tikiguania estesi,4126135
VTO_0068629,Porichthys oculellus,3630441
VTO_0068628,Halophryne diemensis,3630499
VTO_0068625,Halophryne ocellatus,3630491
VTO_0068624,Halophryne,3630484
VTO_0068627,Halophryne hutchinsi,3630504
VTO_0068626,Halophryne queenslandiae,3630486
VTO_0068621,Batrachoides pacifici,3630451
VTO_0068620,Batrachoides boulengeri,3630455
VTO_0068623,Opsanus dichrostomus,3630460
VTO_0068622,Batrachoides gilberti,3630457
VTO_9022925,Plotosaurus bennisoni,6158003
VTO_9022924,Palaeoctonus aulacodus,4127246
VTO_0034366,Conger cinereus,364618
VTO_9022921,Baena callosa,6155747
VTO_9022923,Palaeoctonus appalachianus,4127244
VTO_9022922,Palaeoctonus,4127242
VTO_0081973,Dendropsophus decipiens,4133384
VTO_9020567,Aletridelphys florencae,3606842
VTO_9020566,Aletridelphys,3606805
VTO_9020565,Aletridelphys hatcheri,3606812
VTO_9020564,Limnoscelidae,4128127
VTO_9020563,Chroniosuchus,3620802
VTO_9020562,Nopcsaspondylus,4145598
VTO_9020561,Limnoscelis,4128129
VTO_9020560,Limnostygis,4128132
VTO_9020568,Apistodon exiguus,3606835
VTO_0081979,Dendropsophus gryllatus,4133387
VTO_0080103,Dolichopteryx brachyrhynchus,3642802
VTO_0080101,Dolichopteryx minuscula,3642818
VTO_0074624,Pseudochromis cometes,3633662
VTO_0074625,Pseudochromis andamanensis,3633681
VTO_9016568,Dolabrosaurus,4128580
VTO_0074627,Pseudochromis tonozukai,3633643
VTO_0074620,Pseudochromis pesi,3633671
VTO_0074621,Pseudochromis persicus,3633684
VTO_0074622,Pseudochromis melas,3633670
VTO_9022968,Progyrolepis tricessimalaris,6140408
VTO_9016562,Homo georgicus,3607679
VTO_9016563,Amphicaenopus,3614787
VTO_9016560,Opisthoctenodon agilis,6149491
VTO_9016561,Zaisanamynodon,4118217
VTO_0074628,Pseudochromis striatus,3633653
VTO_0074629,Pseudochromis melanurus,3633697
VTO_9016564,Opisthoctenodon,4129554
VTO_9016565,Pseudocylindrodon texanus,4941233
VTO_0073168,Geophagus obscurus,3636355
VTO_0073166,Geophagus iporangensis,3636359
VTO_0073167,Geophagus winemilleri,3636353
VTO_9014580,Pseudocordylodon vireti,4943762
