vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Heteropneustes	VTO_0036628	93620	Heteropneustes	700877
Heteropneustes fossilis	VTO_0036629	93621	Heteropneustes fossilis	700872
Pseudolithoxus dumus	VTO_0037348	281765	Pseudolithoxus dumus	977158
Trichomycterus anhanga	VTO_9046514	NA	NA	NA
Gagata gagata	VTO_0036622	385294	Gagata gagata	641165
Gagata melanopterus	VTO_0036623	400070	Gagata melanopterus	851192
Ayarnangra estuarius	VTO_0036620	385280	Ayarnangra estuarius	119579
Gagata	VTO_0036621	205339	Gagata	256922
Gagata dolichonema	VTO_0036626	400069	Gagata dolichonema	421562
Heteropneustidae	VTO_0036627	31004	Heteropneustidae	87882
Gagata cenia	VTO_0036624	205340	Gagata cenia	677782
Gagata sexualis	VTO_0036625	400071	Gagata sexualis	875495
Oreoglanis hypsiurus	VTO_0061118	NA	NA	NA
Oreoglanis jingdongensis	VTO_0061119	NA	NA	NA
Pareuchiloglanis macrotrema	VTO_0061110	NA	NA	NA
Pareuchiloglanis songdaensis	VTO_0061111	NA	NA	NA
Pareuchiloglanis abbreviatus	VTO_0061112	NA	NA	NA
Pareuchiloglanis poilanei	VTO_0061113	NA	NA	NA
Pareuchiloglanis tianquanensis	VTO_0061114	NA	NA	NA
Pareuchiloglanis nebulifer	VTO_0061115	NA	NA	NA
Pareuchiloglanis tamduongensis	VTO_0061116	NA	NA	NA
Oreoglanis siamensis	VTO_0061117	NA	NA	NA
Astrodoras asterifrons	VTO_0060789	NA	NA	NA
Aspidoras cf. pauciradiatus (Britto 2003)	VTO_0061353	NA	NA	NA
Synodontis polli	VTO_0036788	392949	Synodontis polli	576992
Tridens melanops	VTO_0061644	NA	NA	NA
Pseudostegophilus	VTO_0036519	648144	Pseudostegophilus	11524
Clarias sp. (Fink and Fink 1981)	VTO_0059670	NA	NA	NA
Noturus funebris	VTO_0036248	75284	Noturus funebris	139659
Noturus stanauli	VTO_0036249	371820	Noturus stanauli	948858
Nedystoma	VTO_0035823	591329	Nedystoma	516582
Arius gagora	VTO_0035822	591255	Arius gagora	678031
Nedystoma dayi	VTO_0035825	591330	Nedystoma dayi	1043029
Nedystoma novaeguineae	VTO_0035824	591323	Nedystoma novaeguineae	516546
Nemapteryx nenga	VTO_0035827	591258	Nemapteryx nenga	678002
Nemapteryx	VTO_0035826	591290	Nemapteryx	573489
Noturus lachneri	VTO_0036240	90664	Noturus lachneri	621580
Nemapteryx armiger	VTO_0035828	591305	Nemapteryx armiger	466218
Diplomystidae	VTO_0036714	31007	Diplomystidae	87884
Diplomystes	VTO_0036715	337531	Diplomystes	536091
Pterodoras	VTO_0036712	238588	Pterodoras	50907
Pterodoras granulosus	VTO_0036713	238589	Pterodoras granulosus	50908
Noturus exilis	VTO_0036246	61323	Noturus exilis	678206
Opsodoras ternetzi	VTO_0036711	238604	Nemadoras ternetzi	317867
Nannoptopoma sternoptychum	VTO_0060385	NA	NA	NA
Clarias nebulosus	VTO_0059671	NA	NA	NA
Pinirampus pirinampu	VTO_0036398	337629	Pinirampus pirinampu	813445
Pimelodus	VTO_0036399	42504	Pimelodus	361207
Corydoras robineae	VTO_0035278	NA	NA	NA
Brachyplatystoma capapretum	VTO_0036393	NA	NA	NA
Brachyplatystoma filamentosum	VTO_0036390	642922	Brachyplatystoma filamentosum	1077789
Brachyplatystoma tigrinum	VTO_0036391	1150203	Brachyplatystoma tigrinum	410517
Bergiaria westermanni	VTO_0036396	1053607	Bergiaria westermanni	817376
Pinirampus	VTO_0036397	337628	Pinirampus	813475
Bergiaria	VTO_0036395	NA	NA	NA
Physopyxis cristata	VTO_0060733	NA	NA	NA
Platydoras hancockii	VTO_0060732	NA	NA	NA
Platydoras sp. (Royero 1999)	VTO_0060731	NA	NA	NA
Platydoras armatulus	VTO_0060730	NA	NA	NA
Pseudancistrus guentheri	VTO_0060089	NA	NA	NA
Pseudancistrus papariae	VTO_0060088	NA	NA	NA
Doras higuchii	VTO_0060735	NA	NA	NA
Physopyxis ananas	VTO_0060734	NA	NA	NA
Pseudancistrus reus	VTO_0060085	NA	NA	NA
Pseudancistrus sp. (Armbruster 2004)	VTO_0060084	NA	NA	NA
Pseudancistrus yekuana	VTO_0060087	NA	NA	NA
Pseudancistrus kwinti	VTO_0060086	NA	NA	NA
Acestridium colombiense	VTO_0060081	NA	NA	NA
Dekeyseria niveata	VTO_0060080	NA	NA	NA
Acestridium triplax	VTO_0060083	NA	NA	NA
Acestridium dichromum	VTO_0060082	NA	NA	NA
Eurycheilichthys	VTO_0037029	510927	Eurycheilichthys	888348
Trichomycterus romeroi	VTO_0061547	NA	NA	NA
Chaca bankanensis	VTO_0035473	NA	NA	NA
Pimelodus blochii	VTO_0036402	686977	Pimelodus blochii	840989
Pimelodus argenteus	VTO_0036403	NA	NA	NA
Pimelodus pictus	VTO_0036400	255572	Pimelodus pictus	488963
Pimelodus ornatus	VTO_0036401	337652	Pimelodus ornatus	618288
Pimelodus coprophagus	VTO_0036407	1150218	Pimelodus coprophagus	423820
Pimelodus albicans	VTO_0036404	462339	Pimelodus albicans	672144
Clarias pseudonieuhofii	VTO_0059677	NA	NA	NA
Astroblepus ventralis	VTO_0060670	NA	NA	NA
Pimelodus heraldoi	VTO_0036409	NA	NA	NA
Imparfinis borodini	VTO_0060996	NA	NA	NA
Chiloglanis polypogon	VTO_0061895	NA	NA	NA
Pyxiloricaria menezesi	VTO_0060429	NA	NA	NA
Pyxiloricaria	VTO_0060428	NA	NA	NA
Dentectus barbarmatus	VTO_0060427	NA	NA	NA
Dentectus	VTO_0060426	NA	NA	NA
Pterygoplichthys sp. (de Pinna 1993)	VTO_0060425	NA	NA	NA
Pterygoplichthys anisitsi	VTO_0060424	NA	NA	NA
Pterygoplichthys sp. (Vigliotta 2008)	VTO_0060423	NA	NA	NA
Pterygoplichthys sp. (Schaefer 1987)	VTO_0060422	NA	NA	NA
Pterygoplichthys undecimalis	VTO_0060421	NA	NA	NA
Pterygoplichthys xinguensis	VTO_0060420	NA	NA	NA
Glanidium leopardum	VTO_0060557	NA	NA	NA
Glanidium ribeiroi	VTO_0060556	NA	NA	NA
Nannoglanis	VTO_0060887	NA	NA	NA
Pseudotatia parva	VTO_0060554	NA	NA	NA
Pseudotatia	VTO_0060553	NA	NA	NA
Genus 11 (Bockmann 1998)	VTO_0060880	NA	NA	NA
Leptorhamdia marmorata	VTO_0060883	NA	NA	NA
Leptorhamdia	VTO_0060882	NA	NA	NA
Chiloglanis lamottei	VTO_0061891	NA	NA	NA
Genus 5 (Bockmann 1998)	VTO_0060889	NA	NA	NA
Nannoglanis fasciatus	VTO_0060888	NA	NA	NA
Glanidium bockmanni	VTO_0060559	NA	NA	NA
Glanidium cesarpintoi	VTO_0060558	NA	NA	NA
Astroblepus chimborazoi	VTO_0060654	NA	NA	NA
Hemibagrus hoevenii	VTO_0059393	NA	NA	NA
Ancistrus cryptophthalmus	VTO_0037285	NA	NA	NA
Astroblepus caquetae	VTO_0060655	NA	NA	NA
Dekeyseria pulchra	VTO_0037289	1137574	Dekeyseria pulchra	73902
Dekeyseria	VTO_0037288	337762	Dekeyseria	935999
Astroblepus grixalvii	VTO_0060656	NA	NA	NA
Astroblepus fissidens	VTO_0060657	NA	NA	NA
Metaloricaria paucidens	VTO_0037049	503159	Metaloricaria paucidens	584017
Metaloricaria	VTO_0037048	503158	Metaloricaria	584016
Microlepidogaster perforatus	VTO_0037045	510791	Microlepidogaster perforatus	949995
Astroblepus cirratus	VTO_0060650	NA	NA	NA
Hypoptopoma sp. (Schaefer 1991)	VTO_0060303	NA	NA	NA
Astroblepus sp. (Armbruster 2004)	VTO_0060652	NA	NA	NA
Hypoptopoma sp. (Schaefer 1987)	VTO_0060301	NA	NA	NA
Erethistoides ascita	VTO_0061061	NA	NA	NA
Bagrus bajad	VTO_0035109	1027340	Bagrus bajad	941030
Phenacorhamdia unifasciata	VTO_0060959	NA	NA	NA
Phenacorhamdia macarenensis	VTO_0060958	NA	NA	NA
Phenacorhamdia hoehnei	VTO_0060953	NA	NA	NA
Phenacorhamdia tenebrosa	VTO_0060952	NA	NA	NA
Phenacorhamdia somnians	VTO_0060951	NA	NA	NA
Phenacorhamdia anisura	VTO_0060950	NA	NA	NA
Phenacorhamdia sp. B (Bockmann 1998)	VTO_0060957	NA	NA	NA
Phenacorhamdia sp. A (Bockmann 1998)	VTO_0060956	NA	NA	NA
Phenacorhamdia provenzanoi	VTO_0060955	NA	NA	NA
Phenacorhamdia nigrolineata	VTO_0060954	NA	NA	NA
Pareiodon microps	VTO_0036454	648141	Pareiodon microps	11528
Hemipsilichthys	VTO_0036818	245753	Hemipsilichthys	216137
Pseudobagrus koreanus	VTO_0035106	78880	Pseudobagrus koreanus	380280
Synodontis decora	VTO_0061829	404965	Synodontis decorus	629028
Megalancistrus parananus	VTO_0037344	NA	NA	NA
Clarias dhonti	VTO_0059678	NA	NA	NA
Pterocryptis indicus	VTO_0062003	NA	NA	NA
Pterocryptis burmanensis	VTO_0062002	NA	NA	NA
Pterocryptis cucphuongensis	VTO_0062001	NA	NA	NA
Pterocryptis berdmorei	VTO_0062000	NA	NA	NA
Silurichthys sanguineus	VTO_0062007	NA	NA	NA
Silurichthys gibbiceps	VTO_0062006	NA	NA	NA
Pterocryptis wynaadensis	VTO_0062005	NA	NA	NA
Pterocryptis taytayensis	VTO_0062004	NA	NA	NA
Silurichthys indragiriensis	VTO_0062009	NA	NA	NA
Silurichthys sp. (Bornbusch 1991)	VTO_0062008	NA	NA	NA
Mystus chinensis	VTO_0059478	NA	NA	NA
Mystus elongatus	VTO_0059479	NA	NA	NA
Mystus keletius	VTO_0059474	NA	NA	NA
Mystus dibrugarensis	VTO_0059475	NA	NA	NA
Mystus pelusius	VTO_0059476	NA	NA	NA
Mystus albolineatus	VTO_0059477	NA	NA	NA
Mystus falcarius	VTO_0059470	NA	NA	NA
Mystus sp. (Kailola 2004)	VTO_0059471	NA	NA	NA
Mystus seengtee	VTO_0059472	NA	NA	NA
Mystus armiger	VTO_0059473	NA	NA	NA
Oloplotosus luteus	VTO_0060445	NA	NA	NA
Chrysichthys sianenna	VTO_0059247	NA	NA	NA
Aspistor hardenbergi	VTO_0059710	NA	NA	NA
Neoarius coatesi	VTO_0059713	NA	NA	NA
Schilbe congensis	VTO_0061473	NA	NA	NA
Schilbe bocagii	VTO_0061472	NA	NA	NA
Eutropius sp. (de Pinna 1993)	VTO_0061471	NA	NA	NA
Schilbe zairensis	VTO_0061470	NA	NA	NA
Ailiichthys	VTO_0061477	NA	NA	NA
Parailia spiniserrata	VTO_0061476	NA	NA	NA
Parailia somalensis	VTO_0061475	NA	NA	NA
Acentronichthys	VTO_0035628	NA	NA	NA
Pimelodella longipinnis	VTO_0035627	1123875	Pimelodella longipinnis	777615
Ariopsis latirostris	VTO_0059715	NA	NA	NA
Irvineia	VTO_0061479	NA	NA	NA
Ailiichthys punctata	VTO_0061478	NA	NA	NA
Pimelodella vittata	VTO_0035623	1053588	Pimelodella vittata	417051
Pimelodella meeki	VTO_0035622	NA	NA	NA
Pimelodella lateristriga	VTO_0035620	756476	Pimelodella lateristriga	297578
Imparfinis hollandi	VTO_0060992	NA	NA	NA
Neoarius velutinus	VTO_0059717	NA	NA	NA
Chrysichthys sharpii	VTO_0059240	NA	NA	NA
Bathybagrus graueri	VTO_0059276	NA	NA	NA
Heteropneustes longipectoralis	VTO_0059277	NA	NA	NA
Gnathobagrus	VTO_0059274	NA	NA	NA
Gnathobagrus depressus	VTO_0059275	NA	NA	NA
Amarginops platus	VTO_0059272	NA	NA	NA
Amarginops hildae	VTO_0059273	NA	NA	NA
Phyllonemus brichardi	VTO_0059270	NA	NA	NA
Brachysynodontis	VTO_0061878	NA	NA	NA
Mochokus brevis	VTO_0061877	NA	NA	NA
Mochokus niloticus	VTO_0061876	NA	NA	NA
Mochokus	VTO_0061875	NA	NA	NA
Atopochilus chabanaudi	VTO_0061874	NA	NA	NA
Atopochilus macrocephalus	VTO_0061873	NA	NA	NA
Atopochilus mandevillei	VTO_0061872	NA	NA	NA
Heteropneustes kemratensis	VTO_0059278	NA	NA	NA
Heteropneustes sp. (de Pinna 1993)	VTO_0059279	NA	NA	NA
Pseudobunocephalus quadriradiatus	VTO_0059323	NA	NA	NA
Pseudobunocephalus lundbergi	VTO_0059324	NA	NA	NA
Oloplotosus torobo	VTO_0060446	NA	NA	NA
Leiocassis longispinalis	VTO_0059497	NA	NA	NA
Trichomycterus igobi	VTO_0061617	NA	NA	NA
Trichomycterus spelaeus	VTO_0061616	NA	NA	NA
Trichomycterus jequitinhonhae	VTO_0061615	NA	NA	NA
Trichomycterus riojanus	VTO_0061614	NA	NA	NA
Trichomycterus latistriatus	VTO_0061613	NA	NA	NA
Trichomycterus vermiculatus	VTO_0061612	NA	NA	NA
Trichomycterus nigricans	VTO_0061611	NA	NA	NA
Trichomycterus celsae	VTO_0061610	NA	NA	NA
Microglanis nigripinnis	VTO_0059290	NA	NA	NA
Microglanis secundus	VTO_0059291	NA	NA	NA
Microglanis parahybae	VTO_0059292	NA	NA	NA
Microglanis malabarbai	VTO_0059293	NA	NA	NA
Microglanis ater	VTO_0059294	NA	NA	NA
Microglanis pellopterygius	VTO_0059295	NA	NA	NA
Trichomycterus uisae	VTO_0061619	NA	NA	NA
Trichomycterus vittatus	VTO_0061618	NA	NA	NA
Trichomycterus longibarbatus	VTO_0061587	NA	NA	NA
Trichomycterus sandovali	VTO_0061586	NA	NA	NA
Trichomycterus therma	VTO_0061585	NA	NA	NA
Trichomycterus taeniops	VTO_0061584	NA	NA	NA
Trichomycterus quechuorum	VTO_0061583	NA	NA	NA
Trichomycterus maracaiboensis	VTO_0061582	NA	NA	NA
Trichomycterus oroyae	VTO_0061581	NA	NA	NA
Trichomycterus gabrieli	VTO_0061580	NA	NA	NA
Corydoras melanotaenia	VTO_0035285	NA	NA	NA
Corydoras multimaculatus	VTO_0035284	NA	NA	NA
Corydoras maculifer	VTO_0035287	NA	NA	NA
Corydoras melini	VTO_0035286	NA	NA	NA
Corydoras pygmaeus	VTO_0035281	NA	NA	NA
Leiocassis collinus	VTO_0059498	NA	NA	NA
Corydoras pulcher	VTO_0035283	NA	NA	NA
Trichomycterus duellmani	VTO_0061588	NA	NA	NA
Trichomycterus immaculatus	VTO_0036495	756478	Trichomycterus immaculatus	297548
Auchenoglanididae	VTO_0061434	NA	NA	NA
Bagrus meridionalis	VTO_0059430	NA	NA	NA
Megalonema platycephalum	VTO_0036365	NA	NA	NA
Chiloglanis carnosus	VTO_0061903	NA	NA	NA
Chiloglanis microps	VTO_0061902	NA	NA	NA
Malapterurus baarbatus	VTO_0061273	NA	NA	NA
Malapterurus minjiriya	VTO_0061272	NA	NA	NA
Chiloglanis batesii	VTO_0061907	NA	NA	NA
Chiloglanis pretoriae	VTO_0061906	NA	NA	NA
Paradoxoglanis caudivittatus	VTO_0061277	NA	NA	NA
Chiloglanis fasciatus	VTO_0061904	NA	NA	NA
Akysis sp. 2 (Chen 1994)	VTO_0061279	NA	NA	NA
Paradoxoglanis cryptus	VTO_0061278	NA	NA	NA
Chiloglanis lukugae	VTO_0061909	NA	NA	NA
Chiloglanis elisabethianus	VTO_0061908	NA	NA	NA
Encheloclarias prolatus	VTO_0059618	NA	NA	NA
Encheloclarias velatus	VTO_0059619	NA	NA	NA
Glyptothorax gracilis	VTO_0061059	NA	NA	NA
Glyptothorax ketambe	VTO_0061058	NA	NA	NA
Rhizosomichthys	VTO_0061729	NA	NA	NA
Stegophilus panzeri	VTO_0061728	NA	NA	NA
Trichomycterus corduvensis	VTO_0036493	648121	Trichomycterus corduvensis	957943
Synodontis centralis	VTO_0061766	NA	NA	NA
Glyptothorax filicatus	VTO_0061051	NA	NA	NA
Glyptothorax punjabensis	VTO_0061050	NA	NA	NA
Paravandellia phaneronema	VTO_0061721	NA	NA	NA
Ochmacanthus orinoco	VTO_0061720	NA	NA	NA
Glyptothorax cous	VTO_0061055	NA	NA	NA
Glyptothorax naziri	VTO_0061054	NA	NA	NA
Stegophilus sp. (Schaefer 1990)	VTO_0061725	NA	NA	NA
Stegophilus	VTO_0061724	NA	NA	NA
Potamarius	VTO_0035757	419347	Potamarius	195735
Cinetodus froggatti	VTO_0035756	591317	Cinetodus froggatti	992743
Cinetodus carinatus	VTO_0035755	591316	Cinetodus carinatus	992748
Akysis pulvinatus	VTO_0061298	NA	NA	NA
Cinetodus	VTO_0035753	591315	Cinetodus	992753
Loricariichthys brunneus	VTO_0059857	NA	NA	NA
Aspistor	VTO_0035751	419345	Aspistor	195736
Cryptarius truncatus	VTO_0035750	419352	Cryptarius truncatus	769705
Akysis heterurus	VTO_0061293	NA	NA	NA
Synodontis ngouniensis	VTO_0061763	NA	NA	NA
Akysis maculipinnis	VTO_0061291	NA	NA	NA
Loricariichthys acutus	VTO_0059859	NA	NA	NA
Akysis ephippifer	VTO_0061297	NA	NA	NA
Noturus placidus	VTO_0036242	90669	Noturus placidus	652766
Potamarius izabalensis	VTO_0035759	419348	Potamarius izabalensis	195717
Potamarius nelsoni	VTO_0035758	419349	Potamarius nelsoni	195714
Hypostomus robinii	VTO_0036890	338092	Hypostomus robinii	452253
Hypostomus hondae	VTO_0036893	338089	Hypostomus hondae	1028603
Noturus phaeus	VTO_0036243	90668	Noturus phaeus	652763
Hypostomus plecostomoides	VTO_0036894	338090	Hypostomus plecostomoides	452258
Hypostomus topavae	VTO_0036897	NA	NA	NA
Hypostomus strigaticeps	VTO_0036896	1123844	Hypostomus strigaticeps	205377
Hypostomus iheringii	VTO_0036899	1123842	Hypostomus iheringii	319727
Hypostomus brevis	VTO_0036898	1123841	Hypostomus brevis	319738
Gagata sp. (de Pinna 1993)	VTO_0061092	NA	NA	NA
Noturus taylori	VTO_0036245	90670	Noturus taylori	130869
Schultzichthys bondi	VTO_0061640	NA	NA	NA
Euristhmus lepturus	VTO_0060442	NA	NA	NA
Plectrochilus machadoi	VTO_0061641	NA	NA	NA
Noturus crypticus	VTO_0036247	371819	Noturus crypticus	496876
Plectrochilus wieneri	VTO_0061642	NA	NA	NA
Agamyxis albomaculatus	VTO_0036705	238587	Agamyxis albomaculatus	50910
Plectrochilus diabolicus	VTO_0061643	NA	NA	NA
Hypodoras forficulatus	VTO_0036659	238565	Hypodoras forficulatus	101999
Hypodoras	VTO_0036658	238564	Hypodoras	101998
Hypostomus isbrueckeri	VTO_0036873	164012	Hypostomus isbrueckeri	174951
Hemidoras stenopeltis	VTO_0036656	238612	Hemidoras stenopeltis	892422
Hemidoras	VTO_0036655	238611	Hemidoras	892425
Hassar	VTO_0036653	238609	Hassar	317864
Oxydoras niger	VTO_0036652	238584	Oxydoras niger	50911
Oxydoras sifontesi	VTO_0036651	NA	NA	NA
Oxydoras	VTO_0036650	238636	Oxydoras	842277
Erethistoides sicula	VTO_0036098	385293	Erethistoides sicula	641176
Oreoglanis tenuicauda	VTO_0061129	NA	NA	NA
Synodontis macropunctata	VTO_0061769	NA	NA	NA
Parakysis longirostris	VTO_0036091	385306	Parakysis longirostris	343448
Oreoglanis frenatus	VTO_0061124	NA	NA	NA
Lacantunia	VTO_0036093	409305	Lacantunia	874765
Lacantuniidae	VTO_0036092	409303	Lacantuniidae	874757
Erethistidae	VTO_0036095	385271	Erethistidae	693711
Lacantunia enigmatica	VTO_0036094	409306	Lacantunia enigmatica	874760
Oreoglanis suraswadii	VTO_0061123	NA	NA	NA
Erethistoides	VTO_0036096	385290	Erethistoides	641175
Neoplecostomus espiritosantensis	VTO_0037237	648979	Neoplecostomus espiritosantensis	650422
Tridensimilis brevis	VTO_0061651	NA	NA	NA
Hisonotus notatus	VTO_0036937	NA	NA	NA
Kryptopterus baramensis	VTO_0061980	NA	NA	NA
Harttia rhombocephala	VTO_0060101	NA	NA	NA
Sciades passany	VTO_0035836	419342	Sciades passany	195725
Sciades proops	VTO_0035837	419343	Sciades proops	195721
Sciades herzbergii	VTO_0035834	419340	Sciades herzbergii	195732
Sciades parkeri	VTO_0035835	419341	Sciades parkeri	195728
Sciades	VTO_0035833	390430	Sciades	480915
Nemapteryx caelata	VTO_0035830	1190807	Nemapteryx caelata	83466
Nemapteryx augusta	VTO_0035831	591267	Nemapteryx augusta	52799
Ameiurus catus	VTO_0036275	66911	Ameiurus catus	976194
Ameiurus natalis	VTO_0036274	66912	Ameiurus natalis	362803
Ameiurus serracanthus	VTO_0036277	219534	Ameiurus serracanthus	1070414
Ameiurus platycephalus	VTO_0036276	219535	Ameiurus platycephalus	1070418
Centromochlus heckelii	VTO_0035023	238680	Centromochlus heckelii	518277
Ameiurus brunneus	VTO_0036273	219540	Ameiurus brunneus	343933
Ameiurus melas	VTO_0036272	219545	Ameiurus melas	343941
Tridentopsis cahuali	VTO_0061657	NA	NA	NA
Euchiloglanis phongthoensis	VTO_0061096	NA	NA	NA
Pangasius mahakamensis	VTO_0060720	NA	NA	NA
Austroglanididae	VTO_0060721	NA	NA	NA
Pseudancistrus sp. gold spot (Armbruster 2004)	VTO_0060090	NA	NA	NA
Phreatobius sanguijuela	VTO_0060723	NA	NA	NA
Phreatobius sp. 1 (de Pinna 1993)	VTO_0060724	NA	NA	NA
Phreatobius sp. 2 (de Pinna 1993)	VTO_0060725	NA	NA	NA
Harttia longipinna	VTO_0060094	NA	NA	NA
Harttia sp. (Armbruster 2004)	VTO_0060095	NA	NA	NA
Opsodoras boulengeri	VTO_0060728	NA	NA	NA
Platydoras brachylecis	VTO_0060729	NA	NA	NA
Harttia punctata	VTO_0060098	NA	NA	NA
Harttia duriventris	VTO_0060099	NA	NA	NA
Tridentopsis sp. (Schaefer 1990)	VTO_0061656	NA	NA	NA
Ketengus typus	VTO_0035763	337777	Ketengus typus	494902
Chaca burmensis	VTO_0060722	NA	NA	NA
Trichomycterus	VTO_0036477	36719	Trichomycterus	923320
Ochmacanthus alternus	VTO_0036476	390387	Ochmacanthus alternus	56579
Ochmacanthus	VTO_0036473	390386	Ochmacanthus	56582
Apomatoceros alleni	VTO_0036472	648129	Apomatoceros alleni	957939
Apomatoceros	VTO_0036471	648128	Apomatoceros	957941
Bullockia maldonadoi	VTO_0036470	390385	Bullockia maldonadoi	194065
Trichomycterus santaeritae	VTO_0036479	984689	Trichomycterus santaeritae	713116
Trichomycterus guianense	VTO_0036478	380991	Trichomycterus guianense	605069
Tridentopsis tocantinsi	VTO_0061655	NA	NA	NA
Euristhmus nudiceps	VTO_0060438	NA	NA	NA
Euristhmus microphthalmus	VTO_0060439	NA	NA	NA
Clupisoma longianalis	VTO_0060434	NA	NA	NA
Clupisoma montana	VTO_0060435	NA	NA	NA
Clupisoma naziri	VTO_0060436	NA	NA	NA
Euristhmus	VTO_0060437	NA	NA	NA
Silonia childreni	VTO_0060430	NA	NA	NA
Clupisoma bastari	VTO_0060431	NA	NA	NA
Clupisoma roosae	VTO_0060432	NA	NA	NA
Clupisoma nujiangense	VTO_0060433	NA	NA	NA
Centromochlus musaica	VTO_0060544	NA	NA	NA
Centromochlus simplex	VTO_0060545	NA	NA	NA
Centromochlus romani	VTO_0060546	NA	NA	NA
Centromochlus sp. (Rio Negro) (Royero 1999)	VTO_0060547	NA	NA	NA
Tatia nigra	VTO_0060540	NA	NA	NA
Centromochlus megalops	VTO_0060541	NA	NA	NA
Centromochlus schultzi	VTO_0060542	NA	NA	NA
Centromochlus n. sp. (Royero 1999)	VTO_0060543	NA	NA	NA
Centromochlus reticulatus	VTO_0060548	NA	NA	NA
Centromochlus macracanthus	VTO_0060549	NA	NA	NA
Tridentopsis pearsoni	VTO_0061654	NA	NA	NA
Dekeyseria scaphirhyncha	VTO_0037290	337763	Dekeyseria scaphirhyncha	936001
Dekeyseria picta	VTO_0037291	1137573	Dekeyseria picta	73910
Acanthicus	VTO_0037294	337731	Acanthicus	394008
Acanthicus adonis	VTO_0037295	337732	Acanthicus adonis	394007
Pseudancistrus	VTO_0037296	471096	Pseudancistrus	90501
Astroblepus festae	VTO_0060667	NA	NA	NA
Pseudancistrus nigrescens	VTO_0037298	471102	Pseudancistrus nigrescens	889724
Pseudancistrus depressus	VTO_0037299	471101	Pseudancistrus depressus	889726
Cathorops melanopus	VTO_0035713	1077199	Cathorops melanopus	378945
Hemibagrus filamentus	VTO_0035077	1080455	Hemibagrus filamentus	109116
Doras phlyzakion	VTO_0060736	NA	NA	NA
Dasyloricaria tuyrensis	VTO_0037052	503128	Dasyloricaria tuyrensis	63052
Planiloricaria	VTO_0037053	503160	Planiloricaria	862927
Dasyloricaria	VTO_0037050	337679	Dasyloricaria	671068
Dasyloricaria filamentosa	VTO_0037051	337680	Dasyloricaria filamentosa	839748
Sturisomatichthys citurensis	VTO_0037056	503163	Sturisomatichthys citurensis	223148
Spatuloricaria	VTO_0037057	337697	Spatuloricaria	315254
Planiloricaria cryptodon	VTO_0037054	503161	Planiloricaria cryptodon	223153
Sturisomatichthys	VTO_0037055	503162	Sturisomatichthys	862916
Acanthopoma	VTO_0036503	648126	Acanthopoma	957949
Haemomaster venezuelae	VTO_0036502	648131	Haemomaster venezuelae	403654
Haemomaster	VTO_0036501	648130	Haemomaster	432110
Trichomycterus maracaya	VTO_0036500	NA	NA	NA
Listrura nematopteryx	VTO_0036507	NA	NA	NA
Corydoras bifasciatus	VTO_0061383	NA	NA	NA
Listrura	VTO_0036505	NA	NA	NA
Acanthopoma annectens	VTO_0036504	648127	Acanthopoma annectens	957947
Ancistrus galani	VTO_0059929	NA	NA	NA
Hemiancistrus itacua	VTO_0059885	NA	NA	NA
Doras zuanoni	VTO_0060739	NA	NA	NA
Corydoras baderi	VTO_0061384	NA	NA	NA
Doras eigenmanni	VTO_0060738	NA	NA	NA
Hypostomus meleagris	VTO_0060183	NA	NA	NA
Corydoras pantanalensis	VTO_0035272	NA	NA	NA
Corydoras ortegai	VTO_0061386	NA	NA	NA
Cranoglanis bouderius	VTO_0035547	175800	Cranoglanis bouderius bouderius	261881
Phenacorhamdia sp. C (Bockmann 1998)	VTO_0060948	NA	NA	NA
Corydoras barbatus sp. I (Britto 2003)	VTO_0061389	NA	NA	NA
Liobagrus aequilabris	VTO_0035572	NA	NA	NA
Clarias cataractus	VTO_0059664	NA	NA	NA
Nemuroglanis mariai	VTO_0060940	NA	NA	NA
Nemuroglanis lanceolatus	VTO_0060941	NA	NA	NA
Genus 6 (Bockmann 1998)	VTO_0060942	NA	NA	NA
Genus 6 sp. (Bockmann 1998)	VTO_0060943	NA	NA	NA
Phenacorhamdia	VTO_0060944	NA	NA	NA
Phenacorhamdia sp. D (Bockmann 1998)	VTO_0060945	NA	NA	NA
Phenacorhamdia tenuis	VTO_0060946	NA	NA	NA
Phenacorhamdia taphorni	VTO_0060947	NA	NA	NA
Imparfinis mishky	VTO_0060998	NA	NA	NA
Ancistrus centrolepis	VTO_0059921	NA	NA	NA
Hemibagrus wyckioides	VTO_0035083	337641	Hemibagrus wyckioides	45425
Ancistrus nudiceps	VTO_0059927	NA	NA	NA
Rhamdia muelleri	VTO_0060898	NA	NA	NA
Rhamdia parryi	VTO_0060899	NA	NA	NA
Hemibagrus nemurus	VTO_0035081	156983	Hemibagrus nemurus	3623778
Acentronichthys sp. n. B (Bockmann 1998)	VTO_0060892	NA	NA	NA
Rhamdia reddelli	VTO_0060893	NA	NA	NA
Genus 5 sp. B (Bockmann 1998)	VTO_0060890	NA	NA	NA
Genus 5 sp. A (Bockmann 1998)	VTO_0060891	NA	NA	NA
Rhamdia parvus	VTO_0060896	NA	NA	NA
Rhamdia guasarensis	VTO_0060897	NA	NA	NA
Rhamdia jequitinhonha	VTO_0060894	NA	NA	NA
Rhamdia schomburgkii	VTO_0060895	NA	NA	NA
Silurichthys citatus	VTO_0062010	NA	NA	NA
