vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Steindachneridion melanodermatum	VTO_0036416	NA	NA	NA
Pimelodus maculatus	VTO_0036411	466241	Pimelodus maculatus	386663
Pimelodus pohli	VTO_0036413	NA	NA	NA
Pimelodus fur	VTO_0036412	1053589	Pimelodus fur	417047
Hoplomyzon n. sp. (Friel 1994)	VTO_0059352	NA	NA	NA
Neosilurus sp. 2 (de Pinna 1993)	VTO_0060458	NA	NA	NA
Neosilurus mollespiculum	VTO_0060459	NA	NA	NA
Arius sp. (Royero 1999)	VTO_0059766	NA	NA	NA
Plotosus papuensis	VTO_0060452	NA	NA	NA
Plotosus abbreviatus	VTO_0060453	NA	NA	NA
Plotosus fisadoha	VTO_0060450	NA	NA	NA
Ancistrus taunayi	VTO_0059943	NA	NA	NA
Neosilurus pseudospinosus	VTO_0060456	NA	NA	NA
Neosilurus idenburgi	VTO_0060457	NA	NA	NA
Tatia dunni	VTO_0060534	NA	NA	NA
Neosilurus novaeguineae	VTO_0060455	NA	NA	NA
Trachycorystes	VTO_0060522	NA	NA	NA
Trachycorystes sp. (de Pinna 1993)	VTO_0060523	NA	NA	NA
Tetranematichthys wallacei	VTO_0060520	NA	NA	NA
Tetranematichthys n. sp. (Royero 1999)	VTO_0060521	NA	NA	NA
Trachycorystes trachycorystes	VTO_0060526	NA	NA	NA
Tatia jaracatia	VTO_0060527	NA	NA	NA
Trachycorystes cratensis	VTO_0060524	NA	NA	NA
Trachycorystes obscurus	VTO_0060525	NA	NA	NA
Genidens genidens	VTO_0035731	591326	Genidens genidens	516562
Tatia aulopygia	VTO_0060528	NA	NA	NA
Tatia gyrina	VTO_0060529	NA	NA	NA
Loricaria clavipinna	VTO_0037108	503130	Loricaria clavipinna	636425
Ancistrus multispinis	VTO_0037278	52074	Ancistrus multispinis	448085
Ancistrus pirareta	VTO_0037279	52075	Ancistrus pirareta	439751
Ancistrus cirrhosus	VTO_0037276	52072	Ancistrus cirrhosus	448077
Ancistrus dolichopterus	VTO_0037277	52073	Ancistrus dolichopterus	439744
Ancistrus ranunculus	VTO_0037274	52076	Ancistrus ranunculus	439749
Ancistrus brevipinnis	VTO_0037275	510750	Ancistrus brevipinnis	643610
Panaqolus changae	VTO_0037272	510771	Panaqolus changae	696178
Ancistrus	VTO_0037273	52071	Ancistrus	439747
Panaque cochliodon	VTO_0037270	503187	Panaque cochliodon	553484
Pseudobagrus tokiensis	VTO_0035095	78873	Pseudobagrus tokiensis	804531
Harttia novalimensis	VTO_0037078	NA	NA	NA
Hypostomus unae	VTO_0060185	NA	NA	NA
Harttia surinamensis	VTO_0037071	1137577	Harttia surinamensis	73892
Harttia guianensis	VTO_0037072	503138	Harttia guianensis	636446
Harttia gracilis	VTO_0037073	NA	NA	NA
Harttia kronei	VTO_0037074	NA	NA	NA
Harttia leiopleura	VTO_0037076	NA	NA	NA
Trichomycterus mirissumba	VTO_0061539	NA	NA	NA
Imparfinis sp. n. (Bockman 1998)	VTO_0060988	NA	NA	NA
Imparfinis pijpersi	VTO_0060989	NA	NA	NA
Hypostomus pagei	VTO_0060238	NA	NA	NA
Hypostomus ericae	VTO_0060239	NA	NA	NA
Myoglanis sp. (Bockmann 1998)	VTO_0060984	NA	NA	NA
Myoglanis aspredinoides	VTO_0060985	NA	NA	NA
Myoglanis koepckei	VTO_0060986	NA	NA	NA
Myoglanis potaroensis	VTO_0060987	NA	NA	NA
Hypostomus goyazensis	VTO_0060232	NA	NA	NA
Hypostomus faveolus	VTO_0060233	NA	NA	NA
Mastiglanis	VTO_0060982	NA	NA	NA
Hypostomus commersonii	VTO_0060231	NA	NA	NA
Henonemus punctatus	VTO_0036464	238685	Henonemus punctatus	926781
Hemiarius harmandi	VTO_0059736	NA	NA	NA
Reganella	VTO_0060390	NA	NA	NA
Tatia	VTO_0035027	238665	Tatia	165962
Chiloglanis paratus	VTO_0061901	NA	NA	NA
Microlepidogaster sp. (Britto 2003)	VTO_0060393	NA	NA	NA
Dianema urostriatum	VTO_0035445	245776	Dianema urostriatum	267133
Megalocentor	VTO_0036467	648134	Megalocentor	432105
Micromyzon akamai	VTO_0035854	390449	Micromyzon akamai	113061
Trichomycterus itacambirussu	VTO_0061577	NA	NA	NA
Microlepidogaster sp. (Schaefer 1991)	VTO_0060394	NA	NA	NA
Erethistoides infuscatus	VTO_0061064	NA	NA	NA
Crossoloricaria bahuaja	VTO_0060397	NA	NA	NA
Erethistoides pipri	VTO_0061065	NA	NA	NA
Euristhmus sandrae	VTO_0060440	NA	NA	NA
Henonemus	VTO_0036463	238684	Henonemus	926782
Erethistoides senkhiensis	VTO_0061066	NA	NA	NA
Synodontis courteti	VTO_0036745	566413	Synodontis courteti	524009
Gogangra laevis	VTO_0061067	NA	NA	NA
Synodontis budgetti	VTO_0036744	566412	Synodontis budgetti	449479
Rineloricaria zaina	VTO_0059849	NA	NA	NA
Chaetostoma stannii	VTO_0060010	NA	NA	NA
Nematogenys cuivi	VTO_9001377	NA	NA	NA
Synodontis sorex	VTO_0036746	566419	Synodontis sorex	449468
Erethistoides cavatura	VTO_0061062	NA	NA	NA
Bagrus ubangensis	VTO_0035112	749473	Bagrus ubangensis	293647
Erethistoides montana	VTO_0061063	NA	NA	NA
Epapterus dispilurus	VTO_0035043	337682	Epapterus dispilurus	839745
Rineloricaria lima	VTO_0059818	NA	NA	NA
Synodontis resupinata	VTO_0061836	NA	NA	NA
Cephalocassis manillensis	VTO_0059735	NA	NA	NA
Mystus bimaculatus	VTO_0059469	NA	NA	NA
Epapterus	VTO_0035042	337681	Epapterus	839747
Mystus nigriceps	VTO_0059467	NA	NA	NA
Leiocassis yeni	VTO_0059493	NA	NA	NA
Mystus armatus	VTO_0059465	NA	NA	NA
Mystus castaneus	VTO_0059464	NA	NA	NA
Mystus alasensis	VTO_0059463	NA	NA	NA
Austroglanis sp. (de Pinna 1993)	VTO_0061347	NA	NA	NA
Mystus rufescens	VTO_0059461	NA	NA	NA
Mystus ankutta	VTO_0059460	NA	NA	NA
Akysis sp. 1 (de Pinna 1996)	VTO_0061285	NA	NA	NA
Pseudohemiodon thorectes	VTO_0060401	NA	NA	NA
Rineloricaria caracasensis	VTO_0059846	NA	NA	NA
Microlepidogaster sp. (Armbruster 2004)	VTO_0060395	NA	NA	NA
Crossoloricaria sp. (Armbruster 2004)	VTO_0060400	NA	NA	NA
Ageneiosus ucayalensis	VTO_0035047	238655	Ageneiosus ucayalensis	791207
Pareiorhaphis regani	VTO_0060151	NA	NA	NA
Ageneiosus atronasus	VTO_0035046	337684	Ageneiosus atronasus	839756
Akysis vespertinus	VTO_0061299	NA	NA	NA
Pareiorhaphis stephanus	VTO_0060150	NA	NA	NA
Bagrichthys macropterus	VTO_0035092	337741	Bagrichthys macropterus	23770
Pseudohemiodon platycephalus	VTO_0060405	NA	NA	NA
Mochokidae	VTO_0036719	31000	Mochokidae	87890
Australoglanididae	VTO_0061342	NA	NA	NA
Eutropiichthys goongwaree	VTO_0061261	NA	NA	NA
Ancistrus latifrons	VTO_0059917	NA	NA	NA
Taunayia	VTO_0035658	NA	NA	NA
Taunayia bifasciata	VTO_0035659	756486	Taunayia bifasciata	1015003
Limatulichthys sp. (Britto 2003)	VTO_0060407	NA	NA	NA
Astephus	VTO_0061488	NA	NA	NA
Astephus resimus	VTO_0061489	NA	NA	NA
Rhamdiopsis microcephala	VTO_0035652	1123877	Rhamdiopsis microcephala	343324
Chasmocranus	VTO_0035653	NA	NA	NA
Satan	VTO_0061484	NA	NA	NA
Rhamdiopsis	VTO_0035651	NA	NA	NA
Brachyrhamdia	VTO_0035656	337806	Brachyrhamdia	263396
Siluranodon auritus	VTO_0061483	NA	NA	NA
Chasmocranus brevior	VTO_0035654	1281311	Chasmocranus brevior	1018980
Irvineia orientalis	VTO_0061481	NA	NA	NA
Corydoras ehrhardti	VTO_0035384	245770	Corydoras ehrhardti	267114
Cathorops belizensis	VTO_0059733	NA	NA	NA
Corydoras metae	VTO_0035386	245768	Corydoras metae	841715
Bagrichthys macracanthus	VTO_0035093	1142163	Bagrichthys macracanthus	870064
Corydoras flaveolus	VTO_0035381	245773	Corydoras flaveolus	267117
Corydoras paleatus	VTO_0035382	245772	Corydoras paleatus	267119
Corydoras nattereri	VTO_0035383	245771	Corydoras nattereri	267111
