VTO_name	VTO_id
Acentronichthys sp. n. B (Bockmann 1998)	VTO_0060892
Rhamdia reddelli	VTO_0060893
Genus 5 sp. B (Bockmann 1998)	VTO_0060890
Genus 5 sp. A (Bockmann 1998)	VTO_0060891
Rhamdia parvus	VTO_0060896
Rhamdia guasarensis	VTO_0060897
Rhamdia jequitinhonha	VTO_0060894
Rhamdia schomburgkii	VTO_0060895
Gymnogobius scrobiculatus	VTO_0077521
Wheelerigobius	VTO_0077527
Triplophysa aquaecaeruleae	VTO_0062498
Triplophysa grahami	VTO_0062499
Triplophysa brachyptera	VTO_0062494
Triplophysa rossoperegrinatorum	VTO_0062495
Triplophysa daqiaoensis	VTO_0062496
Triplophysa yaopeizhii	VTO_0062497
Triplophysa yunnanensis	VTO_0062490
Triplophysa hsutschouensis	VTO_0062491
Triplophysa zaidamensis	VTO_0062492
Triplophysa leptosoma	VTO_0062493
Aphrosaurus	VTO_9012207
Alzadasaurus	VTO_9012206
Serpianosaurus	VTO_9012205
Congruus	VTO_9026153
Geomys carranzai	VTO_9026154
Parthanosaurus	VTO_9012202
Pachypleurosaurus	VTO_9012201
Baringa	VTO_9026157
Baringa nelsonensis	VTO_9026158
Bohra	VTO_9026159
Wheelerigobius maltzani	VTO_0077528
Plesiosauria	VTO_9012209
Simosaurus	VTO_9012208
Anchisauripus exsertus	VTO_9027687
Teletaceras mortivallis	VTO_9027686
Borophagus pugnator	VTO_9027685
Borophagus parvus	VTO_9027684
Borophagus secundus	VTO_9027683
Ochotonoma	VTO_9027682
Pseudalopex gymnocercus	VTO_9027681
Ochotonoma anatolia	VTO_9027680
Ulmensia	VTO_9014641
Telmatherium accola	VTO_9027689
Mesoreodon floridensis	VTO_9027688
Tanzanycteris mannardi	VTO_9014642
Cathayornis yandica	VTO_9004079
Cathayornis	VTO_9004078
Berberosaurus	VTO_9004073
Rakomylus	VTO_9004072
Saotherium mingoz	VTO_9004071
Amphechinus kreuzae	VTO_9004070
Eocathayornis walkeri	VTO_9004077
Eocathayornis	VTO_9004076
Reithrodontini	VTO_9004075
Cainotherium	VTO_9004074
Cryptodiramorpha	VTO_9028798
Judithemys sukhanovi	VTO_9028799
Paleoheterodon tiheni	VTO_9011801
Hibbardomys voorhiesi	VTO_9028794
Archaeocetus fockii major	VTO_9028795
Archaeocetus fockii minor	VTO_9028796
Eucryptodira	VTO_9028797
Hibbardomys fayae	VTO_9028790
Synaptomys morgani	VTO_9028791
Platyoposaurus vjuschkovi	VTO_9028792
