ottid	number_of_vto_mappings_from_data_file
ott3622731	1
ott3622732	1
ott3622733	1
ott3622734	1
ott3622735	1
ott3622736	1
ott3622737	1
ott3621894	0
ott3621895	1
ott3621896	1
ott3621897	1
ott3621890	1
ott228101	1
ott3623794	1
ott216717	1
ott3621898	1
ott3621899	0
ott1027811	0
ott752324	1
ott5839200	0
ott740542	1
ott3621997	1
ott1019963	1
ott3624338	1
ott678013	0
ott45425	1
ott3624137	1
ott3623574	1
ott518277	1
ott228441	0
ott11359	1
ott518276	0
ott777650	1
ott678026	1
ott496876	1
ott3624256	1
ott3624177	1
ott3623709	1
ott215091	1
ott3623707	1
ott3623704	1
ott3623705	0
ott3623702	1
ott3623703	1
ott3623700	1
ott3624319	1
ott3621968	1
ott3621969	1
ott976194	1
ott3624046	1
ott3622608	1
ott3622609	1
ott3622604	1
ott3622605	1
ott3622606	1
ott3622607	1
ott3622600	1
ott3622601	1
ott3622602	1
ott3622603	1
ott3623474	2
ott582534	1
ott3624178	0
ott3621765	1
ott582531	1
ott3623475	1
ott3623476	1
ott3623260	1
ott817343	0
ott817345	1
ott817347	1
ott841690	1
ott3624310	1
ott841695	1
ott3623471	2
ott277543	0
ott3622549	0
ott3622548	1
ott277547	1
ott3624312	1
ott100560	0
ott3622543	1
ott3622542	1
ott3622541	1
ott3622540	1
ott3622547	1
ott3622546	1
ott3622544	1
ott3623012	1
ott3623010	1
ott244031	0
ott3623017	1
ott3623014	1
ott244032	0
ott3621755	0
ott130903	0
ott3623018	1
ott629032	1
ott698168	1
ott6141791	1
ott4949417	0
ott6141793	0
ott6141792	0
ott6141795	0
ott6141794	0
ott6141797	0
ott6141796	0
ott6141799	0
ott6141798	1
ott5555228	0
ott61484	0
ott61486	0
ott61487	1
ott494908	1
ott6141827	0
ott494902	1
ott61488	1
ott5223762	0
ott3621996	1
ott343452	1
ott343454	1
ott343456	1
ott3624339	1
ott3624053	1
ott90511	1
ott5223760	0
ott340323	1
ott23444	1
ott3621725	1
ott566336	1
ott5223767	0
ott3623126	1
ott3623127	1
ott3623125	1
ott3623122	1
ott3623123	1
ott3623121	1
ott5223765	0
ott3623128	0
ott3623129	1
ott218154	0
ott343933	1
ott750414	1
ott750417	0
ott750416	0
ott992719	1
ott750410	1
ott750412	1
ott557860	0
ott5846119	0
ott5846102	0
ott90748	1
ott297578	1
ott407863	1
ott4138714	0
ott407865	1
ott3623232	1
ott3623233	1
ott3623230	1
ott3623231	1
ott3623236	1
ott3623237	1
ott3623234	1
ott3623235	1
ott5925167	0
ott5925166	0
ott5925165	0
ott5925164	0
ott5925163	0
ott5925162	0
ott5925161	0
ott5925160	0
ott733139	1
ott629028	1
ott922472	1
ott5925169	0
ott5925168	1
ott516569	1
ott3623406	1
ott951726	1
ott3622003	1
ott3622330	1
ott3623137	1
ott1043055	1
ott3622000	1
ott907428	1
ott3622331	1
ott3623225	1
ott488970	0
ott488971	0
ott3622332	1
ott5839202	0
ott871805	0
ott894797	1
ott3622055	1
ott3623247	1
ott3622057	1
ott3623613	1
ott3622051	1
ott3622050	1
ott3622053	1
ott3622052	1
ott3624067	1
ott3623614	1
ott460855	1
ott3623345	0
ott3622059	1
ott3623245	1
ott315246	1
ott5835161	0
ott3623244	1
ott195721	1
ott922467	2
ott3622338	1
ott3621927	0
ott922461	1
ott3623242	1
ott3623944	1
ott3623945	1
ott3623946	1
ott3623947	1
ott3623943	1
ott5839320	0
ott3623948	1
ott3623949	1
ott61474	1
ott804540	1
ott804544	1
ott804549	1
ott619438	0
ott350498	1
ott11531	0
ott350492	1
ott3623388	1
ott3622947	1
ott3622946	1
ott3622945	1
ott3622944	1
ott3622943	1
ott3622942	1
ott3622941	1
ott3622940	1
ott3623510	2
ott3623497	1
ott3623494	1
ott3623495	1
ott3623492	1
ott3623493	1
ott3622949	1
ott3622948	1
ott410534	1
ott1078512	1
ott30860	1
ott4949419	1
ott56130	1
ott5925189	0
ott5925188	0
ott949069	3
ott1043048	1
ott5925181	0
ott5925180	0
ott5925182	0
ott5925185	0
ott5925184	0
ott5925187	0
ott5925186	0
ott3623132	0
ott3623258	1
ott860973	1
ott523927	1
ott3622839	1
ott3622838	1
ott3622833	1
ott3622832	1
ott3622831	1
ott3622830	1
ott3622837	1
ott3622836	1
ott3622835	1
ott3622834	1
ott3624282	1
ott3624283	1
ott3624280	1
ott3624281	1
ott3623838	1
ott3623839	1
ott3624284	1
ott3624285	1
ott3623834	1
ott3623835	1
ott3623836	1
ott3623837	1
ott3623831	0
ott3623832	1
ott3623833	1
ott5925233	0
ott5925232	0
ott5925231	0
ott5925230	0
ott5925237	0
ott5925236	0
ott5925235	0
ott5925234	0
ott3624044	1
ott6141826	0
ott5925239	0
ott3624047	1
ott3624040	1
ott3624041	1
ott3624042	1
ott3624043	1
ott3623500	0
ott914901	0
ott914900	0
ott914903	0
ott914902	0
ott605064	1
ott3624258	1
ott672142	1
ott793737	0
ott410538	1
ott1006565	1
ott1093642	0
ott433368	0
ott3621889	1
ott3621888	1
ott3622729	1
ott3622728	1
ott3622727	1
ott3622726	1
ott3622725	1
ott3622724	1
ott3622723	1
ott3622722	1
ott3622721	1
ott3622720	1
ott5266602	0
ott6141874	0
ott3624343	1
ott3624305	1
ott3621792	1
ott3624149	1
ott98260	0
ott3621791	1
ott98262	1
ott671083	1
ott3623277	1
ott3623478	1
ott3623443	1
ott3623249	1
ott3623503	2
ott199226	1
ott3623576	1
ott777624	1
ott3623719	1
ott3624071	1
ott3623479	1
ott3623715	1
ott3623714	1
ott3623717	1
ott3623716	1
ott3623711	1
ott3623713	1
ott3623712	1
ott3622613	1
ott3622612	1
ott3622611	1
ott3622610	1
ott3622617	1
ott3622616	1
ott3622615	1
ott3622614	1
ott3621977	1
ott3621976	1
ott3622619	0
ott3622618	0
ott3621973	1
ott3621972	1
ott3621971	1
ott3621970	1
ott1077789	1
ott3624203	1
ott5266601	0
ott423873	0
ott9887	1
ott817352	1
ott317872	1
ott100559	0
ott448085	1
ott817357	0
ott817354	0
ott263393	0
ott263397	0
ott263395	0
ott263394	0
ott277554	0
ott705409	1
ott650418	1
ott3622539	1
ott3622536	1
ott3622537	1
ott3622534	1
ott3622535	1
ott3622532	1
ott3622533	1
ott3622530	1
ott3622531	1
ott3623001	0
ott896426	1
ott3623003	1
ott3623002	1
ott3623005	1
ott244023	0
ott3623006	0
ott3623008	1
ott747402	1
ott3623273	1
ott244028	0
ott3624072	0
ott332055	0
ott3624201	1
ott184033	0
ott3622201	1
ott935100	1
ott52807	0
ott231125	0
ott231124	0
ott905251	1
ott3624144	1
ott5925285	0
ott61491	1
ott758735	1
ott3624206	1
ott3622280	1
ott3622281	1
ott343440	0
ott3622283	1
ott3622335	1
ott142562	1
ott3622287	1
ott3622288	1
ott3622289	1
ott343448	1
ott3622207	0
ott142568	1
ott839748	1
ott177104	1
ott3622442	1
ott3622443	1
ott3622440	1
ott3623226	1
ott3624000	1
ott3622444	1
ott3623332	0
ott4949451	0
ott3623238	1
ott3623135	1
ott3623134	0
ott373906	1
ott580561	1
ott373900	1
ott3623130	1
ott3623133	1
ott373903	1
ott678024	1
ott676110	1
ott3623139	1
ott3623138	1
ott670994	1
ott546049	0
ott670992	1
ott3622851	1
ott884	1
ott3622628	1
ott630666	1
ott3622629	1
ott630663	1
ott56137	1
ott630669	1
ott3622194	2
ott73894	1
ott3622196	1
ott3622197	1
ott3622190	1
ott3622191	1
ott3622192	1
ott3622193	1
ott297574	1
ott3622198	1
ott3622199	1
ott998611	0
ott6141683	0
ott1070414	1
ott3623587	1
ott322213	1
ott6141682	0
ott671000	1
ott583149	0
ott828972	1
ott3623222	1
ott936242	1
ott6141681	0
ott1070418	1
ott583148	0
ott4138502	1
ott4138503	1
ott4138500	1
ott6141680	0
ott4138506	1
ott73892	1
ott544425	2
ott4138505	1
ott3622626	1
ott4138508	0
ott3623583	1
ott3621769	1
ott3622627	1
ott6141833	0
ott516578	1
ott6141684	0
ott927398	0
ott3622068	1
ott3621946	0
ott6141894	0
ott166899	1
ott466216	0
ott3623472	1
ott3621947	1
ott3622060	1
ott3623588	1
ott3622062	1
ott3622334	1
ott3621944	1
ott3622066	1
ott583140	0
ott460664	0
ott460665	0
ott460666	0
ott3622269	1
ott460660	0
ott583143	0
ott460662	0
ott460663	0
ott3622262	1
ott3622263	1
ott3622260	1
ott583142	0
ott3622267	1
ott3622264	1
ott3622265	1
ott922470	1
ott3624026	1
ott3623959	1
ott3623958	1
ott922475	1
ott987210	1
ott3623953	1
ott3623952	1
ott3623951	1
ott3623950	1
ott3623957	1
ott3624024	1
ott3623955	1
ott3623954	1
ott9152	1
ott5839359	0
ott3624022	1
ott784552	2
ott267801	1
ott987214	1
ott918538	1
ott619425	0
ott167688	1
ott3624020	1
ott919004	1
ott987216	1
ott360618	1
ott167683	1
ott922059	1
ott3621949	1
ott466237	1
ott392181	1
ott347269	0
ott3623489	1
ott3623488	1
ott481626	1
ott3623485	1
ott5846101	0
ott3623487	1
ott3623486	1
ott3623481	1
ott3623480	1
ott3623483	1
ott3623482	1
ott705240	0
ott705241	1
ott1037298	0
ott223153	1
ott56129	0
ott975705	1
ott3624029	1
ott1057305	1
ott892422	1
ott892421	1
ott516562	1
ott1057301	1
ott3624182	0
ott1057303	1
ott892424	0
ott272344	1
ott875320	3
ott6141839	0
ott1020755	1
ott3622848	1
ott3622849	1
ott3622846	1
ott3622847	1
ott3622844	1
ott3622845	1
ott3622842	1
ott3622843	1
ott3622840	1
ott3622841	1
ott3623823	1
ott3623822	1
ott3623821	1
ott3623820	1
ott3623827	1
ott3623826	1
ott3623825	1
ott3623824	1
ott3624299	1
ott3624298	1
ott3623829	1
ott3623828	1
ott5839246	0
ott5925246	0
ott5925247	0
ott5925244	0
ott5925245	0
ott5925242	0
ott5925243	0
ott5925240	0
ott5925241	0
ott5846116	0
ott5846117	0
ott3624059	0
ott3624058	1
ott5846112	0
ott5846113	0
ott5925248	0
ott5925249	0
ott941023	2
ott693721	1
ott428013	0
ott410507	1
ott3623532	1
ott966286	1
ott495813	0
ott184772	1
ott780270	0
ott3623229	1
ott840989	1
ott820632	0
ott216459	1
ott279511	0
ott3624186	1
ott279514	0
ott3623535	1
ott3622405	1
ott3622999	0
ott3622054	1
ott3622995	0
ott3622996	1
ott3622990	1
ott3622991	0
ott3622992	0
ott3622993	1
ott5846022	0
ott5846023	0
ott5846020	0
ott5846021	0
ott5846026	0
ott5846024	0
ott5846025	0
ott473173	1
ott4138565	1
ott3623203	1
ott460858	1
ott45408	1
ott3623720	1
ott4138568	1
ott3623722	1
ott3623723	1
ott3623724	1
ott3623725	1
ott3623726	1
ott4138569	1
ott3623728	1
ott3623729	1
ott777638	1
ott3622666	1
ott3622667	1
ott3622664	1
ott3622665	1
ott3622662	1
ott3622663	1
ott3622660	1
ott636446	1
ott3621988	1
ott3621989	1
ott1004059	0
ott3622668	1
ott3622669	1
ott1013581	1
ott678206	1
ott1013586	1
ott966908	0
ott9892	0
ott460850	1
ott576997	1
ott576994	1
ott546304	0
ott546305	0
ott546306	0
ott546307	0
ott546300	0
ott546301	0
ott546302	0
ott546303	0
ott977155	0
ott977156	0
ott546308	0
ott3621982	1
ott1090792	1
ott856541	1
ott3623197	1
ott856543	1
ott3622529	1
ott856545	1
ott3622009	1
ott3622525	1
ott3622524	1
ott3622527	1
ott3622526	1
ott3622521	1
ott3622520	1
ott3622523	1
ott3622522	1
ott3623034	1
ott411934	1
ott3623030	1
ott3623031	1
ott3623032	1
ott3623033	0
ott3623039	1
ott432113	1
ott858	0
ott139659	1
ott5846110	1
ott969748	1
ott851	0
ott853	1
ott3621761	1
ott3624060	1
ott3623513	1
ott922464	1
ott113063	1
ott251620	1
ott205351	1
ott3623512	1
ott237192	1
ott3622981	1
ott4138617	0
ott3622297	1
ott3622296	1
ott3622295	1
ott3622294	1
ott3622293	1
ott3622292	1
ott3622291	1
ott3622290	1
ott1085104	1
ott3623206	1
ott3624061	1
ott967329	1
ott3622298	1
ott3623108	0
ott3623109	1
ott5555202	1
ott3623515	1
ott3622457	1
ott3622456	1
ott3623100	1
ott5555205	0
ott1091653	1
ott1091652	0
ott3623104	1
ott3623105	1
ott3623106	1
ott651450	0
ott463552	0
ott651453	0
ott1004060	0
ott651452	0
ott3624330	1
ott580559	1
ott630678	0
ott630679	1
ott297200	0
ott247136	1
ott549969	2
ott449356	1
ott1019961	1
ott936236	1
ott549964	1
ott630672	0
ott630673	0
ott630674	0
ott630675	1
ott549962	1
ott3622189	1
ott3622188	1
ott440099	1
ott3623204	1
ott3622183	1
ott3622182	1
ott3622181	1
ott3622180	1
ott3622187	1
ott3622186	1
ott3622185	2
ott3622184	1
ott970414	1
ott210205	1
ott3622048	1
ott970411	1
ott3621724	1
ott6141820	0
ott4949447	0
ott4949432	0
ott4949430	0
ott4949436	0
ott4949437	1
ott3621768	1
ott3624064	0
ott3623214	1
ott3623215	1
ott3623216	1
ott3623217	1
ott3623210	1
ott3623211	1
ott3623212	1
ott3623640	1
ott889728	0
ott4138510	0
ott4138513	0
ott4138514	0
ott4138517	0
ott4138516	0
ott3624152	1
ott4138518	1
ott889724	1
ott889726	1
ott5925280	0
ott750418	1
ott3624065	1
ott290428	1
ott290427	1
ott290426	1
ott290425	1
ott3623358	0
ott6141885	0
ott6141884	0
ott6141887	0
ott6141886	0
ott6141881	0
ott6141880	0
ott6141883	0
ott583421	1
ott3622077	1
ott1029235	1
ott3622075	1
ott3622074	1
ott6141888	0
ott3622071	1
ott423820	1
ott3622279	1
ott3622278	1
ott3623786	1
ott3622273	1
ott3622272	1
ott3622275	1
ott3622277	1
ott992748	1
ott3623928	1
ott3623929	1
ott3623926	1
ott3623924	1
ott3623925	1
ott3623922	1
ott3623923	0
ott3623920	1
ott3623921	1
ott784540	1
ott784547	1
ott102003	0
ott102002	0
ott102001	1
ott102004	1
ott3623101	1
ott102009	1
ott904475	1
ott952543	0
ott215103	1
ott952540	1
ott952547	1
ott922066	1
ott3621884	1
ott53826	1
ott751692	1
ott481631	1
ott3623383	1
ott481639	1
ott3624112	1
ott3624113	1
ott3624110	1
ott3623785	1
ott3624116	1
ott3624117	1
ott3624114	1
ott3624115	1
ott3624088	1
ott3624118	1
ott3624119	1
ott223148	1
ott708924	0
ott403654	1
ott3623384	1
ott708923	0
ott3623328	1
ott378945	1
ott3621762	2
ott4949439	1
ott50918	1
ott1020746	1
ott182246	0
ott3622859	1
ott3622858	1
ott182243	0
ott3622855	1
ott3622854	1
ott3622857	1
ott3623639	1
ott182249	0
ott3622850	1
ott3622853	1
ott3622852	1
ott3623856	1
ott3623857	1
ott3623854	1
ott3623855	1
ott3623852	1
ott3623853	1
ott3623850	1
ott3623851	1
ott583145	0
ott583144	0
ott583146	0
ott583141	0
ott73899	0
ott3623858	1
ott3623859	1
ott5925255	0
ott5925254	0
ott5925257	0
ott5925256	0
ott5925251	0
ott5925250	0
ott5925253	0
ott5925252	0
ott3623498	1
ott987218	1
ott3623499	1
ott5925259	0
ott5925258	0
ott3624028	1
ott3623633	1
ott500620	0
ott3621754	1
ott5839161	0
ott5839160	0
ott5839163	0
ott5839162	0
ott3621753	1
ott5839169	0
ott5839168	0
ott411931	1
ott487002	1
ott184765	1
ott878483	1
ott376395	1
ott184768	1
ott548788	0
ott376399	0
ott3621993	1
ott842261	0
ott466539	1
ott3623490	1
ott3621995	1
ott466530	2
ott3623491	1
ott3621994	1
ott3622983	0
ott3622982	0
ott713089	1
ott3622980	1
ott3622987	0
ott3622986	0
ott1085106	1
ott3622984	0
ott1085108	1
ott3624333	1
ott3622989	0
ott3622988	0
ott3624336	1
ott3624337	1
ott3624334	1
ott3624335	1
ott839756	1
ott3621850	1
ott777020	1
ott5846035	0
ott5846036	0
ott5846038	0
ott78424	1
ott565584	1
ott119580	1
ott62091	1
ott3622036	1
ott3624204	1
ott3621854	1
ott410517	1
ott56139	1
ott3621855	1
ott3623737	1
ott3623736	1
ott3623735	1
ott3623734	1
ott3621856	1
ott3623731	1
ott3623730	1
ott542348	1
ott3621857	1
ott5839308	0
ott3623738	1
ott3622675	1
ott3622674	1
ott3622677	1
ott3622676	1
ott3622671	1
ott3622670	1
ott3622673	1
ott3622672	1
ott3621999	1
ott3621998	1
ott636458	1
ott4138839	1
ott3622679	1
ott3622678	1
ott56133	1
ott561702	0
ott5925287	0
ott331924	0
ott52797	0
ott52795	0
ott52793	0
ott52791	1
ott992733	1
ott1018775	0
ott3623158	1
ott410511	0
ott477669	0
ott977146	0
ott977147	0
ott701869	1
ott3623376	1
ott5266599	0
ott977140	1
ott3622510	1
ott3622511	1
ott3622512	1
ott3622513	1
ott3622514	1
ott3622515	1
ott3622516	1
ott3622517	1
ott3622518	1
ott3622519	1
ott3623021	1
ott856538	0
ott3623025	1
ott844	1
ott432109	0
ott432106	1
ott3621955	1
ott432101	1
ott1094712	1
ott557861	0
ott5223779	0
ott892417	1
ott45415	1
ott5845997	0
ott477663	0
ott3623743	1
ott3623598	1
ott5839213	0
ott567613	1
ott5839212	0
ott454708	1
ott477666	0
ott842262	1
ott522214	0
ott5839210	0
ott6141750	0
ott841715	1
ott3622465	1
ott3622467	1
ott444257	1
ott5845991	0
ott841713	1
ott3623118	1
ott3623117	1
ott3623115	0
ott6141752	0
ott3622468	1
ott841718	1
ott3623110	1
ott818738	0
ott3622038	1
ott1078462	0
ott818733	0
ott818735	0
ott817376	1
ott818736	0
ott750428	1
ott1037406	0
ott428025	0
ott750425	1
ott549974	1
ott494866	0
ott750422	1
ott549971	1
ott3624122	1
ott875864	1
ott512140	0
ott934389	1
ott970405	1
ott263398	0
ott1058072	1
ott3623102	1
ott4949421	0
ott4949420	0
ott4949423	0
ott4949422	0
ott4949425	0
ott90485	1
ott4949427	0
ott4949426	0
ott4949429	0
ott4949428	0
ott3623209	1
ott3623208	1
ott3621771	1
ott3621770	1
ott3621773	1
ott3621772	1
ott4138524	0
ott4138525	0
ott4138526	0
ott4138527	0
ott4138520	0
ott4138521	0
ott4138522	0
ott4138523	0
ott3623187	1
ott4138528	0
ott4138529	0
ott713407	1
ott3623023	0
ott290433	0
ott865819	0
ott516557	1
ott3623593	1
ott3622082	1
ott3622083	1
ott3622080	1
ott3622081	1
ott3622086	1
ott3622087	1
ott3622084	0
ott3622085	1
ott5555222	1
ott3622088	1
ott3622089	1
ott1037392	0
ott169025	0
ott1037394	0
ott3622249	1
ott1037398	0
ott3622245	0
ott449468	1
ott3622240	1
ott3622242	1
ott3623742	1
ott3623938	1
ott790485	1
ott3623935	1
ott3623934	1
ott790488	1
ott3623936	1
ott3623931	1
ott3623930	1
ott3623933	1
ott3623932	1
ott63049	1
ott3623473	1
ott410068	2
ott621586	1
ott3623457	1
ott621580	1
ott90749	1
ott621583	1
ott3623745	1
ott3622930	1
ott678029	0
ott431079	1
ott3622931	1
ott61478	1
ott1001872	2
ott129838	0
ott431072	1
ott431076	1
ott431074	1
ott5557368	0
ott3623103	1
ott347448	1
ott5557369	0
ott4138540	0
ott3623318	1
ott3624101	1
ott3624100	1
ott56145	0
ott56144	0
ott56143	0
ott56142	0
ott3624107	1
ott3624106	1
ott3624109	1
ott3624108	1
ott576992	1
ott5266598	0
ott175536	1
ott242530	1
ott3624289	1
ott242538	1
ott575079	0
ott678015	0
ott5266441	0
ott5266442	0
ott5266443	0
ott5266444	0
ott5266445	0
ott5266446	0
ott319736	1
ott5839310	0
ott3622860	1
ott3622861	1
ott3622862	1
ott182255	0
ott182252	0
ott3622865	1
ott3622866	1
ott3622867	1
ott3622868	1
ott3623592	1
ott3623591	1
ott3623590	1
ott3623597	1
ott3623596	1
ott182258	0
ott3623594	1
ott5925268	0
ott3623844	1
ott3623847	1
ott3623846	1
ott3623841	1
ott3623840	1
ott3623843	1
ott3623842	1
ott5925260	0
ott5925261	0
ott5925262	0
ott5925263	0
ott5925264	0
ott5925265	0
ott5925266	0
ott5925267	0
ott5839158	0
ott5839159	0
ott3624037	1
ott987201	1
ott987206	1
ott429531	0
ott3624033	0
ott987208	1
ott429530	0
ott5839154	0
ott5839155	0
ott5839156	0
ott5839157	0
ott3623213	1
ott693709	1
ott875859	1
ott96087	1
ott96085	1
ott499194	1
ott3623149	0
ott3624202	1
ott537278	1
ott3623604	1
ott3623408	0
ott362803	1
ott1018978	1
ott54944	1
ott3622004	1
ott3624329	1
ott3624328	1
ott3621880	0
ott713098	1
ott1085112	1
ott1085110	1
ott3624321	1
ott3624323	1
ott3624322	1
ott3624325	1
ott3624324	1
ott3624327	1
ott3624326	1
ott5846004	0
ott5846000	0
ott5846001	0
ott62087	0
ott5846003	0
ott62089	1
ott62088	0
ott78431	1
ott4138493	1
ott78434	1
ott498421	1
ott3622969	0
ott777615	1
ott3622648	1
ott3622649	1
ott11528	1
ott3622640	1
ott3622641	1
ott3622642	1
ott3622643	1
ott3622644	1
ott3622645	1
ott3622646	1
ott3622647	1
ott3621752	1
ott3622889	1
ott386663	1
ott3622882	1
ott3622883	0
ott3622880	1
ott3622881	1
ott3622886	1
ott3622887	1
ott3622884	1
ott3622885	1
ott3622029	1
ott248050	1
ott580338	0
ott248056	1
ott759352	1
ott467690	1
ott467692	0
ott467693	1
ott3621885	1
ott467695	0
ott957297	1
ott719837	1
ott1018743	1
ott718340	1
ott475412	1
ott322218	1
ott3622507	2
ott3622506	1
ott410506	0
ott3622504	1
ott3622503	1
ott626368	1
ott3622501	1
ott3622500	1
ott626365	1
ott3623057	1
ott3623054	1
ott3623055	0
ott3623052	1
ott3623053	1
ott3623050	1
ott3623051	1
ott3623698	1
ott591994	0
ott591996	0
ott6141918	0
ott3623690	1
ott3623691	1
ott3623692	1
ott3623693	0
ott591998	0
ott3623696	1
ott3623697	1
ott362799	1
ott3621839	1
ott3623312	1
ott203407	1
ott96821	1
ott3621832	1
ott460659	0
ott3621830	1
ott3621831	1
ott3621836	1
ott3621837	0
ott3621834	1
ott3621835	1
ott3622464	1
ott567603	2
ott6141829	0
ott567608	1
ott3622034	1
ott3623296	1
ott4138546	0
ott3622479	1
ott3622478	1
ott320751	2
ott783846	1
ott4138547	0
ott3622473	1
ott3622471	0
ott3622470	1
ott3622477	1
ott683927	0
ott3622475	1
ott3622474	0
ott841707	1
ott841704	1
ott4138545	0
ott3623119	0
ott841701	1
ott4138542	0
ott3623293	1
ott4138543	0
ott828329	0
ott9875	1
ott512176	0
ott380280	1
ott3621751	1
ott3622680	1
ott4138541	0
ott10529	0
ott228430	0
ott865779	0
ott10528	0
ott3622682	1
ott3624290	0
ott623736	1
ott3623298	1
ott812575	1
ott216715	1
ott865777	0
ott3623112	0
ott3621883	1
ott3621882	1
ott417051	1
ott3621881	1
ott3624085	1
ott347445	1
ott6141751	0
ott3623812	1
ott394571	2
ott3624293	1
ott577002	1
ott577000	1
ott3621887	1
ott3623519	1
ott3621886	1
ott267111	1
ott4949415	0
ott4949416	0
ott3623275	1
ott10531	0
ott267114	1
ott267117	1
ott90494	1
ott267119	1
ott3621749	1
ott90498	1
ott4949418	0
ott322082	0
ott3623279	0
ott992727	1
ott3623538	1
ott23770	1
ott1037701	1
ott50920	0
ott3624111	1
ott575820	1
ott818730	1
ott6141912	0
ott3622091	1
ott3622090	1
ott3622093	1
ott3622092	1
ott3622095	1
ott141689	0
ott3622097	1
ott3622096	1
ott3622099	1
ott3622098	1
ott623741	0
ott3622253	1
ott3622251	1
ott3622250	1
ott3622257	1
ott449471	1
ott3622255	1
ott3623530	1
ott3623302	1
ott3623303	1
ott3622259	1
ott3623301	1
ott3623306	1
ott449479	1
ott3624294	1
ott3623305	1
ott3623900	1
ott3623901	1
ott3623902	1
ott3623903	1
ott3623905	1
ott3623906	1
ott3623907	1
ott3623908	1
ott3623909	1
ott811673	0
ott3621750	1
ott5557355	0
ott5557354	0
ott5557357	0
ott5557356	0
ott5557351	0
ott3623537	1
ott5557353	0
ott5557352	0
ott420215	1
ott3623536	1
ott650416	1
ott5557358	0
ott92659	0
ott988786	0
ott3623402	1
ott988785	0
ott623743	1
ott936219	1
ott4138539	0
ott4138538	0
ott431069	1
ott3622434	1
ott4138533	0
ott4138532	0
ott3624296	1
ott4138530	0
ott4138537	0
ott4138536	0
ott4138535	0
ott4138534	0
ott5555221	1
ott5839300	0
ott434368	0
ott466229	1
ott5223780	0
ott544761	1
ott5223782	0
ott5223783	0
ott5223784	0
ott5223785	0
ott5223786	0
ott5223787	0
ott5223788	0
ott5223789	0
ott3623201	0
ott3624138	1
ott3624139	1
ott5839304	0
ott706760	0
ott3623178	1
ott619414	0
ott1069117	0
ott5839214	0
ott3622877	1
ott3622876	1
ott3622875	1
ott3622874	1
ott3622872	1
ott3622871	1
ott3622870	1
ott3623870	1
ott3623871	1
ott3623872	1
ott3623873	1
ott3623874	1
ott3623875	1
ott3622879	1
ott3622878	1
ott3624008	1
ott122079	2
ott5925279	0
ott5925278	0
ott5925277	0
ott5925276	0
ott5925275	0
ott5925274	0
ott5925273	0
ott5925272	0
ott5925271	0
ott5925270	0
ott701523	2
ott5846126	0
ott5846125	0
ott5846124	0
ott5846123	0
ott3621824	1
ott5846121	0
ott3623224	1
ott507217	1
ott5846128	0
ott23767	1
ott96090	1
ott96093	1
ott107857	1
ott625690	2
ott693715	1
ott693718	1
ott3623507	1
ott3622058	1
ott625699	0
ott3624168	1
ott3623227	1
ott3623369	1
ott820642	0
ott820641	0
ott3624233	1
ott650078	1
ott5839211	0
ott3623573	1
ott896070	1
ott5846019	0
ott5846018	0
ott5223774	0
ott1018980	1
ott582522	0
ott3623585	1
ott3624315	1
ott5846091	0
ott3623477	1
ott5846017	0
ott5846016	0
ott5846015	0
ott3624313	1
ott3623360	2
ott182269	0
ott182268	0
ott629036	1
ott5845970	0
ott629038	1
ott5223763	0
ott182261	0
ott5223761	0
ott5223766	0
ott962999	1
ott5223764	0
ott182264	0
ott649704	1
ott538067	1
ott582523	1
ott3624048	1
ott5846090	0
ott512357	1
ott3623544	1
ott315243	1
ott315241	1
ott5845977	0
ott3622659	1
ott3622658	1
ott3622657	1
ott3622656	1
ott3622655	1
ott3622654	1
ott3622653	1
ott3622652	1
ott3622651	1
ott3622650	1
ott3622899	1
ott3622898	1
ott582524	1
ott1058078	1
ott3623202	1
ott3622891	1
ott3622890	1
ott3622893	1
ott3622892	1
ott3622895	1
ott3622894	1
ott3622897	1
ott3622896	1
ott759346	1
ott203412	1
ott3623200	1
ott769703	1
ott3623586	1
ott3622964	1
ott3623615	1
ott3623207	1
ott677048	0
ott248048	1
ott421562	2
ott4949424	0
ott6141677	0
ott5846096	0
ott3623205	1
ott582529	0
ott328542	1
ott671069	1
ott3623656	1
ott6141679	0
ott3624132	1
ott3621775	1
ott3623657	1
ott3623048	0
ott184036	0
ott3621774	1
ott3623045	1
ott3623044	1
ott3623047	1
ott3623041	1
ott3621777	1
ott3623043	1
ott683369	1
ott5925282	0
ott3623161	1
ott825	0
ott516687	0
ott3623689	1
ott3623688	1
ott3623687	1
ott3623686	1
ott3623685	1
ott3623684	1
ott3623683	2
ott3623682	1
ott3623681	1
ott3623680	0
ott3621829	1
ott582520	0
ott671060	1
ott3621821	1
ott3621820	1
ott3621823	1
ott3621822	1
ott3621825	1
ott3621975	1
ott3621827	1
ott3621826	1
ott6141708	0
ott6141709	0
ott5925284	0
ott6141702	0
ott6141703	0
ott6141700	0
ott6141701	0
ott6141706	0
ott6141707	0
ott6141704	0
ott6141705	1
ott3623581	1
ott987220	1
ott794857	1
ott24361	1
ott3622408	1
ott3622407	1
ott3622404	1
ott3623971	1
ott3622402	1
ott3624049	1
ott3622438	1
ott3622401	1
ott558500	0
ott5925289	0
ott865781	0
ott370870	1
ott480916	1
ott480910	1
ott3623404	1
ott3623582	1
ott256911	1
