ottid	number_of_vto_mappings_from_data_file
ott921242	0
ott921243	0
ott921240	1
ott421008	0
ott4138577	1
ott678769	1
ott5846088	0
ott5846089	0
ott870064	1
ott5846084	0
ott685863	1
ott5846087	0
ott5846080	0
ott5846082	0
ott179932	1
ott110220	1
ott76636	0
ott244027	0
ott677033	0
ott3622370	0
ott3623511	1
ott3624230	1
ott3623517	0
ott3623516	1
ott652368	0
ott652369	0
ott498410	1
ott652367	0
ott652364	0
ott3623518	1
ott652363	0
ott498416	1
ott3623288	1
ott284531	1
ott244024	0
ott1058080	1
ott1058087	1
ott733159	1
ott1058084	1
ott733157	1
ott215102	1
ott733154	1
ott215099	0
ott733151	1
ott3622378	1
ott3623638	1
ott598980	0
ott3623636	1
ott3623637	1
ott3623634	1
ott3623635	1
ott3623632	0
ott598983	0
ott3623630	1
ott3623631	1
ott3621858	0
ott431082	1
ott3623280	1
ott3622778	1
ott3622779	1
ott3622774	1
ott3622775	1
ott3622776	1
ott3622777	1
ott3622770	1
ott3622771	1
ott3622772	1
ott3622773	1
ott5266600	0
ott206067	0
ott961400	1
ott514385	0
ott3623284	1
ott961405	0
ott431087	1
ott6141755	0
ott6141754	0
ott6141757	0
ott6141756	0
ott5845993	0
ott5845992	0
ott6141753	0
ott5845990	0
ott431085	1
ott6141759	0
ott6141758	0
ott5845999	0
ott5845998	0
ott3623180	1
ott3623181	0
ott3623182	1
ott3623183	1
ott3623186	1
ott1090583	1
ott3623189	1
ott526801	1
ott174961	0
ott255761	1
ott1016845	0
ott636434	1
ott3623740	1
ott1011047	0
ott3623746	1
ott3623747	1
ott3623744	1
ott925564	1
ott129839	0
ott1011040	0
ott3623748	1
ott818740	0
ott676189	2
ott4138550	0
ott497013	1
ott437810	0
ott3621928	1
ott3621929	1
ott5555204	0
ott3621924	1
ott3621925	1
ott3621926	1
ott1011043	1
ott3621920	1
ott3621921	1
ott3621922	1
ott3621923	1
ott3624097	1
ott990327	0
ott417047	1
ott3624095	1
ott410512	1
ott475417	1
ott3624094	1
ott3622349	1
ott3622348	1
ott536090	1
ott817382	0
ott3622345	1
ott584228	1
ott3622347	1
ott946862	1
ott3622341	1
ott1072144	1
ott3622343	1
ott3622342	1
ott3623294	1
ott3623295	1
ott270225	1
ott3623297	1
ott3623290	1
ott3623291	1
ott3622589	1
ott3622588	1
ott3622587	1
ott3622586	1
ott3622585	1
ott3622584	1
ott3622583	2
ott3622582	1
ott3622581	1
ott3622580	1
ott558483	1
ott558485	1
ott558488	1
ott181363	1
ott3624154	1
ott420211	1
ott171130	1
ott263690	0
ott6141809	0
ott6141808	0
ott896075	1
ott6141805	0
ott6141804	0
ott6141807	0
ott6141806	0
ott6141801	0
ott6141800	0
ott6141803	0
ott6141802	0
ott290625	1
ott5555212	2
ott967051	0
ott5555213	0
ott3623508	1
ott922455	1
ott5555210	0
ott3623509	1
ott5845979	0
ott5845978	0
ott1018984	1
ott108998	1
ott93058	1
ott5845971	0
ott108992	1
ott93054	1
ott5845972	0
ott538060	1
ott5845974	0
ott108995	1
ott546299	0
ott3621733	1
ott3623168	1
ott3623751	1
ott5555214	0
ott229726	1
ott3623505	1
ott3623162	1
ott3623163	1
ott3623160	1
ott5555215	0
ott3623164	1
ott3622333	1
ott3624227	1
ott6141831	0
ott3624220	1
ott3624034	0
ott536094	1
ott804481	1
ott209734	1
ott209737	1
ott486483	1
ott486485	0
ott209732	1
ott3621933	1
ott92636	0
ott209739	1
ott775576	1
ott3623658	1
ott3621723	1
ott645011	0
ott561756	0
ott645013	0
ott139650	2
ott3622165	1
ott3622164	1
ott3622167	1
ott3622166	1
ott3622161	1
ott3622160	1
ott3622163	1
ott3622162	1
ott410081	1
ott3622169	1
ott3622168	1
ott410085	1
ott3623659	1
ott9881	1
ott1043062	1
ott3622078	1
ott494872	1
ott261216	1
ott130910	0
ott130911	0
ott261209	1
ott494870	0
ott3624224	1
ott167707	1
ott3623375	1
ott284528	1
ott510949	0
ott510945	1
ott334636	1
ott922481	1
ott510940	1
ott510943	1
ott510942	0
ott3622019	1
ott3622018	1
ott138003	1
ott440107	1
ott3622010	0
ott440105	1
ott645300	1
ott210174	1
ott440101	1
ott3622016	1
ott641167	1
ott3623988	1
ott3623989	1
ott469719	1
ott3623980	1
ott3623981	1
ott3623982	0
ott3623983	1
ott3623984	1
ott553484	1
ott3623986	1
ott490444	0
ott704246	0
ott416143	1
ott206286	0
ott206074	0
ott394007	1
ott3622909	1
ott3622908	1
ott776406	0
ott776407	0
ott376401	0
ott3622903	1
ott3622902	1
ott3622901	1
ott3622900	1
ott3622907	1
ott3622906	1
ott3622905	1
ott3622904	1
ott282525	1
ott801	1
ott5925303	0
ott5925302	0
ott5925301	0
ott3623759	1
ott3623721	1
ott962400	1
ott777634	0
ott5839253	0
ott5839252	0
ott5839251	0
ott5839250	0
ott5839257	1
ott5839254	0
ott3622461	1
ott59556	0
ott1090782	1
ott415320	1
ott5846093	0
ott5846092	0
ott530439	1
ott96812	0
ott5839247	0
ott5846095	0
ott5846094	0
ott96818	1
ott3623727	1
ott3624136	1
ott3623371	1
ott119433	1
ott896089	1
ott577008	1
ott3624246	1
ott411923	1
ott3623564	1
ott3624245	1
ott3624242	1
ott5339669	0
ott3622056	1
ott566361	1
ott808843	1
ott3621742	0
ott3624248	1
ott3624249	1
ott1058070	1
ott216138	1
ott293650	0
ott216133	1
ott566364	0
ott3623644	1
ott411926	1
ott733141	1
ott733144	1
ott3621746	1
ott733146	1
ott636440	1
ott733148	1
ott3622481	1
ott367531	1
ott3621980	1
ott206076	0
ott5342788	1
ott3621748	1
ott636442	1
ott3623628	1
ott3623624	1
ott3623627	1
ott3623626	1
ott3623621	0
ott3623620	1
ott3623623	1
ott3623622	1
ott3622763	1
ott3622762	1
ott3622761	1
ott3622760	1
ott3622767	1
ott3622766	1
ott3622765	1
ott3622764	1
ott314204	1
ott3621846	1
ott3622769	1
ott3622768	1
ott3621843	1
ott3621842	1
ott3621841	1
ott3621840	1
ott860138	0
ott634728	1
ott3624038	1
ott3623177	1
ott634722	0
ott634723	0
ott634720	0
ott634721	0
ott634727	0
ott634724	0
ott428014	1
ott1028608	0
ott744488	1
ott3623282	1
ott5925297	0
ott1028603	1
ott1028600	0
ott583139	0
ott1028606	0
ott1028607	0
ott744485	1
ott705758	0
